sim_id	query_name	number_of_results
Gra_N1_64_Ont_Opt	queries/xaa	1
Gra_N1_64_Ont_Opt	queries/xab	2
Gra_N1_64_Ont_Opt	queries/xac	1
Gra_N1_64_Ont_Opt	queries/xad	0
Gra_N1_64_Ont_Opt	queries/xae	1
Gra_N1_64_Ont_Opt	queries/xag	1
Gra_N1_64_Ont_Opt	queries/xah	0
Gra_N1_64_Ont_Opt	queries/xai	1
Gra_N1_64_Ont_Opt	queries/xal	1
Gra_N1_64_Ont_Opt	queries/xam	0
Gra_N1_64_Ont_Opt	queries/xan	1
Gra_N1_64_Ont_Opt	queries/xao	0
Gra_N1_64_Ont_Opt	queries/xap	0
Gra_N1_64_Ont_Opt	queries/xaq	1
Gra_N1_64_Ont_Opt	queries/xar	1
Gra_N1_64_Ont_Opt	queries/xas	5
Gra_N1_64_Ont_Opt	queries/xat	1
Gra_N1_64_Ont_Opt	queries/xau	0
Gra_N1_64_Ont_Opt	queries/xav	4
Gra_N1_64_Ont_Opt	queries/xaw	1
Gra_N1_64_Ont_Opt	queries/xay	0
Gra_N1_64_Ont_Opt	queries/xaz	1
Gra_N1_64_Ont_Opt	queries/xba	0
Gra_N1_64_Ont_Opt	queries/xbb	0
Gra_N1_64_Ont_Opt	queries/xbc	1
Gra_N1_64_Ont_Opt	queries/xbe	1
Gra_N1_64_Ont_Opt	queries/xbf	0
Gra_N1_64_Ont_Opt	queries/xbg	1
Gra_N1_64_Ont_Opt	queries/xbh	1
Gra_N1_64_Ont_Opt	queries/xbi	0
Gra_N1_64_Ont_Opt	queries/xbj	1
Gra_N1_64_Ont_Opt	queries/xbl	0
Gra_N1_64_Ont_Opt	queries/xbm	1
Gra_N1_64_Ont_Opt	queries/xbn	1
Gra_N1_64_Ont_Opt	queries/xbo	1
Gra_N1_64_Ont_Opt	queries/xbq	1
Gra_N1_64_Ont_Opt	queries/xbt	1
Gra_N1_64_Ont_Opt	queries/xbu	1
Gra_N1_64_Ont_Opt	queries/xbv	1
Gra_N1_64_Ont_Opt	queries/xbw	0
Gra_N1_64_Ont_Opt	queries/xbx	1
Gra_N1_64_Ont_Opt	queries/xby	0
Gra_N1_64_Ont_Opt	queries/xbz	18
Gra_N1_64_Ont_Opt	queries/xca	1
Gra_N1_64_Ont_Opt	queries/xcb	1
Gra_N1_64_Ont_Opt	queries/xcc	10
Gra_N1_64_Ont_Opt	queries/xcd	1
Gra_N1_64_Ont_Opt	queries/xcf	1001
Gra_N1_64_Ont_Opt	queries/xcg	1
Gra_N1_64_Ont_Opt	queries/xch	1
Gra_N1_64_Ont_Opt	queries/xci	0
Gra_N1_64_Ont_Opt	queries/xcj	1
Gra_N1_64_Ont_Opt	queries/xcl	1
Gra_N1_64_Ont_Opt	queries/xcm	1
Gra_N1_64_Ont_Opt	queries/xco	6
Gra_N1_64_Ont_Opt	queries/xcp	1
Gra_N1_64_Ont_Opt	queries/xcs	1
Gra_N1_64_Ont_Opt	queries/xct	1
Gra_N1_64_Ont_Opt	queries/xcu	1
Gra_N1_64_Ont_Opt	queries/xcw	1
Gra_N1_64_Ont_Opt	queries/xcx	0
Gra_N1_64_Ont_Opt	queries/xcy	1
Gra_N1_64_Ont_Opt	queries/xcz	1
Gra_N1_64_Ont_Opt	queries/xda	1
Gra_N1_64_Ont_Opt	queries/xdb	15
Gra_N1_64_Ont_Opt	queries/xdc	0
Gra_N1_64_Ont_Opt	queries/xdd	1
Gra_N1_64_Ont_Opt	queries/xdf	0
Gra_N1_64_Ont_Opt	queries/xdg	1
Gra_N1_64_Ont_Opt	queries/xdh	0
Gra_N1_64_Ont_Opt	queries/xdi	0
Gra_N1_64_Ont_Opt	queries/xdj	1
Gra_N1_64_Ont_Opt	queries/xdk	1
Gra_N1_64_Ont_Opt	queries/xdl	1
Gra_N1_64_Ont_Opt	queries/xdm	0
Gra_N1_64_Ont_Opt	queries/xdn	0
Gra_N1_64_Ont_Opt	queries/xdo	0
Gra_N1_64_Ont_Opt	queries/xdq	1
Gra_N1_64_Ont_Opt	queries/xdr	1
Gra_N1_64_Ont_Opt	queries/xdt	1
Gra_N1_64_Ont_Opt	queries/xdu	1
Gra_N1_64_Ont_Opt	queries/xdv	2
Gra_N1_64_Ont_Opt	queries/xdx	1
Gra_N1_64_Ont_Opt	queries/xdz	1
Gra_N1_64_Ont_Opt	queries/xeb	1
Gra_N1_64_Ont_Opt	queries/xec	1
Gra_N1_64_Ont_Opt	queries/xed	18
Gra_N1_64_Ont_Opt	queries/xee	0
Gra_N1_64_Ont_Opt	queries/xeh	3
Gra_N1_64_Ont_Opt	queries/xei	1
Gra_N1_64_Ont_Opt	queries/xej	18
Gra_N1_64_Ont_Opt	queries/xek	1
Gra_N1_64_Ont_Opt	queries/xem	1
Gra_N1_64_Ont_Opt	queries/xen	1
Gra_N1_64_Ont_Opt	queries/xep	1
Gra_N1_64_Ont_Opt	queries/xeq	1
Gra_N1_64_Ont_Opt	queries/xes	1001
Gra_N1_64_Ont_Opt	queries/xet	0
Gra_N1_64_Ont_Opt	queries/xeu	1
Gra_N1_64_Ont_Opt	queries/xev	1
Gra_N1_64_Ont_Opt	queries/xew	1
Gra_N1_64_Ont_Opt	queries/xez	2
Gra_N1_64_Ont_Opt	queries/xfa	4
Gra_N1_64_Ont_Opt	queries/xfc	1
Gra_N1_64_Ont_Opt	queries/xfd	1
Gra_N1_64_Ont_Opt	queries/xfe	1
Gra_N1_64_Ont_Opt	queries/xff	1
Gra_N1_64_Ont_Opt	queries/xfg	1
Gra_N1_64_Ont_Opt	queries/xfh	1
Gra_N1_64_Ont_Opt	queries/xfi	1
Gra_N1_64_Ont_Opt	queries/xfj	1
Gra_N1_64_Ont_Opt	queries/xfl	1
Gra_N1_64_Ont_Opt	queries/xfm	1
Gra_N1_64_Ont_Opt	queries/xfn	1
Gra_N1_64_Ont_Opt	queries/xfp	3
Gra_N1_64_Ont_Opt	queries/xfq	1
