sim_id	query_name	number_of_results
Gra_N1_64_W1000_Opt	C1/C1_split0.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split1.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split10.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split12.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split13.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split14.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split15.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split16.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split17.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split18.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split19.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split2.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split3.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split4.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split5.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split6.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split7.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split8.sparql	1424
Gra_N1_64_W1000_Opt	C1/C1_split9.sparql	1424
Gra_N1_64_W1000_Opt	C2/C2_split0.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split1.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split10.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split11.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split12.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split13.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split14.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split15.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split16.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split17.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split18.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split19.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split2.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split3.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split4.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split5.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split6.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split7.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split8.sparql	342
Gra_N1_64_W1000_Opt	C2/C2_split9.sparql	342
Gra_N1_64_W1000_Opt	C3/C3_split15.sparql	42063279
Gra_N1_64_W1000_Opt	C3/C3_split18.sparql	42063279
Gra_N1_64_W1000_Opt	F1/F1_split0.sparql	251
Gra_N1_64_W1000_Opt	F1/F1_split1.sparql	251
Gra_N1_64_W1000_Opt	F1/F1_split10.sparql	166
Gra_N1_64_W1000_Opt	F1/F1_split11.sparql	81
Gra_N1_64_W1000_Opt	F1/F1_split12.sparql	12
Gra_N1_64_W1000_Opt	F1/F1_split13.sparql	371
Gra_N1_64_W1000_Opt	F1/F1_split14.sparql	244
Gra_N1_64_W1000_Opt	F1/F1_split15.sparql	3
Gra_N1_64_W1000_Opt	F1/F1_split16.sparql	87
Gra_N1_64_W1000_Opt	F1/F1_split17.sparql	488
Gra_N1_64_W1000_Opt	F1/F1_split18.sparql	3
Gra_N1_64_W1000_Opt	F1/F1_split19.sparql	371
Gra_N1_64_W1000_Opt	F1/F1_split2.sparql	251
Gra_N1_64_W1000_Opt	F1/F1_split3.sparql	135
