sim_id	query_name	number_of_results
LDF_N3_64_W100_Def	F1/F1_split0.sparql	19
LDF_N3_64_W100_Def	F1/F1_split1.sparql	32
LDF_N3_64_W100_Def	F1/F1_split10.sparql	9
LDF_N3_64_W100_Def	F1/F1_split11.sparql	2
LDF_N3_64_W100_Def	F1/F1_split12.sparql	0
LDF_N3_64_W100_Def	F1/F1_split13.sparql	0
LDF_N3_64_W100_Def	F1/F1_split14.sparql	32
LDF_N3_64_W100_Def	F1/F1_split15.sparql	26
LDF_N3_64_W100_Def	F1/F1_split16.sparql	19
LDF_N3_64_W100_Def	F1/F1_split17.sparql	20
LDF_N3_64_W100_Def	F1/F1_split18.sparql	0
LDF_N3_64_W100_Def	F1/F1_split19.sparql	22
LDF_N3_64_W100_Def	F1/F1_split2.sparql	0
LDF_N3_64_W100_Def	F1/F1_split3.sparql	10
LDF_N3_64_W100_Def	F1/F1_split4.sparql	26
LDF_N3_64_W100_Def	F1/F1_split5.sparql	48
LDF_N3_64_W100_Def	F1/F1_split6.sparql	17
LDF_N3_64_W100_Def	F1/F1_split7.sparql	26
LDF_N3_64_W100_Def	F1/F1_split8.sparql	0
LDF_N3_64_W100_Def	F1/F1_split9.sparql	0
LDF_N3_64_W100_Def	F2/F2_split0.sparql	34
LDF_N3_64_W100_Def	F2/F2_split1.sparql	60
LDF_N3_64_W100_Def	F2/F2_split10.sparql	152
LDF_N3_64_W100_Def	F2/F2_split11.sparql	4
LDF_N3_64_W100_Def	F2/F2_split12.sparql	3
LDF_N3_64_W100_Def	F2/F2_split13.sparql	56
LDF_N3_64_W100_Def	F2/F2_split14.sparql	113
LDF_N3_64_W100_Def	F2/F2_split15.sparql	14
LDF_N3_64_W100_Def	F2/F2_split16.sparql	93
LDF_N3_64_W100_Def	F2/F2_split17.sparql	117
LDF_N3_64_W100_Def	F2/F2_split18.sparql	103
LDF_N3_64_W100_Def	F2/F2_split19.sparql	7
LDF_N3_64_W100_Def	F2/F2_split2.sparql	124
LDF_N3_64_W100_Def	F2/F2_split3.sparql	7
LDF_N3_64_W100_Def	F2/F2_split4.sparql	75
LDF_N3_64_W100_Def	F2/F2_split5.sparql	17
LDF_N3_64_W100_Def	F2/F2_split6.sparql	31
LDF_N3_64_W100_Def	F2/F2_split7.sparql	126
LDF_N3_64_W100_Def	F2/F2_split8.sparql	118
LDF_N3_64_W100_Def	F2/F2_split9.sparql	8
LDF_N3_64_W100_Def	F3/F3_split0.sparql	155
LDF_N3_64_W100_Def	F3/F3_split1.sparql	168
LDF_N3_64_W100_Def	F3/F3_split10.sparql	102
LDF_N3_64_W100_Def	F3/F3_split11.sparql	29
LDF_N3_64_W100_Def	F3/F3_split12.sparql	1
LDF_N3_64_W100_Def	F3/F3_split13.sparql	183
LDF_N3_64_W100_Def	F3/F3_split14.sparql	138
LDF_N3_64_W100_Def	F3/F3_split15.sparql	23
LDF_N3_64_W100_Def	F3/F3_split16.sparql	43
LDF_N3_64_W100_Def	F3/F3_split17.sparql	138
LDF_N3_64_W100_Def	F3/F3_split18.sparql	249
LDF_N3_64_W100_Def	F3/F3_split19.sparql	165
LDF_N3_64_W100_Def	F3/F3_split2.sparql	28
LDF_N3_64_W100_Def	F3/F3_split3.sparql	138
LDF_N3_64_W100_Def	F3/F3_split4.sparql	89
LDF_N3_64_W100_Def	F3/F3_split5.sparql	168
LDF_N3_64_W100_Def	F3/F3_split6.sparql	16
LDF_N3_64_W100_Def	F3/F3_split7.sparql	23
LDF_N3_64_W100_Def	F3/F3_split8.sparql	19
LDF_N3_64_W100_Def	F3/F3_split9.sparql	21
LDF_N3_64_W100_Def	F4/F4_split0.sparql	276
LDF_N3_64_W100_Def	F4/F4_split1.sparql	221
LDF_N3_64_W100_Def	F4/F4_split10.sparql	273
LDF_N3_64_W100_Def	F4/F4_split11.sparql	333
LDF_N3_64_W100_Def	F4/F4_split12.sparql	215
LDF_N3_64_W100_Def	F4/F4_split13.sparql	175
LDF_N3_64_W100_Def	F4/F4_split14.sparql	299
LDF_N3_64_W100_Def	F4/F4_split15.sparql	217
LDF_N3_64_W100_Def	F4/F4_split16.sparql	163
LDF_N3_64_W100_Def	F4/F4_split17.sparql	217
LDF_N3_64_W100_Def	F4/F4_split18.sparql	154
LDF_N3_64_W100_Def	F4/F4_split19.sparql	102
LDF_N3_64_W100_Def	F4/F4_split2.sparql	309
LDF_N3_64_W100_Def	F4/F4_split3.sparql	296
LDF_N3_64_W100_Def	F4/F4_split4.sparql	276
LDF_N3_64_W100_Def	F4/F4_split5.sparql	103
LDF_N3_64_W100_Def	F4/F4_split6.sparql	173
LDF_N3_64_W100_Def	F4/F4_split7.sparql	402
LDF_N3_64_W100_Def	F4/F4_split8.sparql	287
LDF_N3_64_W100_Def	F4/F4_split9.sparql	393
LDF_N3_64_W100_Def	F5/F5_split0.sparql	34
LDF_N3_64_W100_Def	F5/F5_split1.sparql	15
LDF_N3_64_W100_Def	F5/F5_split10.sparql	29
LDF_N3_64_W100_Def	F5/F5_split11.sparql	41
LDF_N3_64_W100_Def	F5/F5_split12.sparql	39
LDF_N3_64_W100_Def	F5/F5_split13.sparql	41
LDF_N3_64_W100_Def	F5/F5_split14.sparql	41
LDF_N3_64_W100_Def	F5/F5_split15.sparql	55
LDF_N3_64_W100_Def	F5/F5_split16.sparql	30
LDF_N3_64_W100_Def	F5/F5_split17.sparql	24
LDF_N3_64_W100_Def	F5/F5_split18.sparql	31
LDF_N3_64_W100_Def	F5/F5_split19.sparql	50
LDF_N3_64_W100_Def	F5/F5_split2.sparql	52
LDF_N3_64_W100_Def	F5/F5_split3.sparql	19
LDF_N3_64_W100_Def	F5/F5_split4.sparql	55
LDF_N3_64_W100_Def	F5/F5_split5.sparql	38
LDF_N3_64_W100_Def	F5/F5_split6.sparql	52
LDF_N3_64_W100_Def	F5/F5_split7.sparql	31
LDF_N3_64_W100_Def	F5/F5_split8.sparql	35
LDF_N3_64_W100_Def	F5/F5_split9.sparql	49
LDF_N3_64_W100_Def	L1/L1_split0.sparql	3
LDF_N3_64_W100_Def	L1/L1_split1.sparql	1
LDF_N3_64_W100_Def	L1/L1_split10.sparql	7
LDF_N3_64_W100_Def	L1/L1_split11.sparql	5
LDF_N3_64_W100_Def	L1/L1_split12.sparql	2
LDF_N3_64_W100_Def	L1/L1_split13.sparql	2
LDF_N3_64_W100_Def	L1/L1_split14.sparql	3
LDF_N3_64_W100_Def	L1/L1_split15.sparql	4
LDF_N3_64_W100_Def	L1/L1_split16.sparql	3
LDF_N3_64_W100_Def	L1/L1_split17.sparql	3
LDF_N3_64_W100_Def	L1/L1_split18.sparql	0
LDF_N3_64_W100_Def	L1/L1_split19.sparql	2
LDF_N3_64_W100_Def	L1/L1_split2.sparql	9
LDF_N3_64_W100_Def	L1/L1_split3.sparql	0
LDF_N3_64_W100_Def	L1/L1_split4.sparql	1
LDF_N3_64_W100_Def	L1/L1_split5.sparql	7
LDF_N3_64_W100_Def	L1/L1_split6.sparql	1
LDF_N3_64_W100_Def	L1/L1_split7.sparql	4
LDF_N3_64_W100_Def	L1/L1_split8.sparql	5
LDF_N3_64_W100_Def	L1/L1_split9.sparql	5
LDF_N3_64_W100_Def	L2/L2_split0.sparql	106
LDF_N3_64_W100_Def	L2/L2_split1.sparql	323
LDF_N3_64_W100_Def	L2/L2_split11.sparql	78
LDF_N3_64_W100_Def	L2/L2_split12.sparql	158
LDF_N3_64_W100_Def	L2/L2_split13.sparql	961
LDF_N3_64_W100_Def	L2/L2_split17.sparql	961
LDF_N3_64_W100_Def	L2/L2_split19.sparql	323
LDF_N3_64_W100_Def	L2/L2_split2.sparql	961
LDF_N3_64_W100_Def	L2/L2_split4.sparql	323
LDF_N3_64_W100_Def	L2/L2_split5.sparql	961
LDF_N3_64_W100_Def	L2/L2_split7.sparql	78
LDF_N3_64_W100_Def	L2/L2_split8.sparql	118
LDF_N3_64_W100_Def	L3/L3_split0.sparql	18
LDF_N3_64_W100_Def	L3/L3_split1.sparql	23
