sim_id	query_name	number_of_results
Vir_N1_32_W1000_Def	C1/C1_split0.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split1.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split10.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split11.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split12.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split13.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split14.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split15.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split16.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split17.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split18.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split19.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split2.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split20.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split21.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split22.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split23.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split24.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split25.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split26.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split27.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split28.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split29.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split3.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split30.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split31.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split32.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split33.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split34.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split35.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split36.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split37.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split38.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split39.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split4.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split40.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split41.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split42.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split43.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split44.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split45.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split46.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split47.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split48.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split49.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split5.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split50.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split51.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split52.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split53.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split54.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split55.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split56.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split57.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split58.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split59.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split6.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split60.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split61.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split62.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split63.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split64.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split65.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split66.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split67.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split68.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split69.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split7.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split70.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split71.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split72.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split73.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split74.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split75.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split76.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split77.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split78.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split79.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split8.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split80.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split81.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split82.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split83.sparql	1424
Vir_N1_32_W1000_Def	C1/C1_split84.sparql	1424
