sim_id	query_name	number_of_results
Vir_N3_64_Ont_Opt_1	queries/xar	1
Vir_N3_64_Ont_Opt_1	queries/xat	1
Vir_N3_64_Ont_Opt_1	queries/xaw	1
Vir_N3_64_Ont_Opt_1	queries/xay	0
Vir_N3_64_Ont_Opt_1	queries/xbq	1
Vir_N3_64_Ont_Opt_1	queries/xbv	1
Vir_N3_64_Ont_Opt_1	queries/xbw	0
Vir_N3_64_Ont_Opt_1	queries/xby	0
Vir_N3_64_Ont_Opt_1	queries/xbz	18
Vir_N3_64_Ont_Opt_1	queries/xcj	1
Vir_N3_64_Ont_Opt_1	queries/xco	6
Vir_N3_64_Ont_Opt_1	queries/xdf	0
Vir_N3_64_Ont_Opt_1	queries/xdo	0
Vir_N3_64_Ont_Opt_1	queries/xef	1
Vir_N3_64_Ont_Opt_1	queries/xfg	1
Vir_N3_64_Ont_Opt_1	queries/xfi	1
Vir_N3_64_Ont_Opt_1	queries/xfl	1
Vir_N3_64_Ont_Opt_1	queries/xfy	1
Vir_N3_64_Ont_Opt_1	queries/xgs	1
Vir_N3_64_Ont_Opt_1	queries/xhb	1
Vir_N3_64_Ont_Opt_1	queries/xhf	0
Vir_N3_64_Ont_Opt_1	queries/xhk	1
Vir_N3_64_Ont_Opt_1	queries/xhl	1
Vir_N3_64_Ont_Opt_1	queries/xhm	1
Vir_N3_64_Ont_Opt_1	queries/xhp	1
Vir_N3_64_Ont_Opt_1	queries/xii	1
Vir_N3_64_Ont_Opt_1	queries/xit	1
Vir_N3_64_Ont_Opt_1	queries/xiw	1
Vir_N3_64_Ont_Opt_1	queries/xiy	0
Vir_N3_64_Ont_Opt_1	queries/xjb	1
Vir_N3_64_Ont_Opt_1	queries/xjd	1
Vir_N3_64_Ont_Opt_1	queries/xji	1
Vir_N3_64_Ont_Opt_1	queries/xjj	1
Vir_N3_64_Ont_Opt_1	queries/xjs	1
Vir_N3_64_Ont_Opt_1	queries/xjx	0
Vir_N3_64_Ont_Opt_1	queries/xki	1
Vir_N3_64_Ont_Opt_1	queries/xku	1
Vir_N3_64_Ont_Opt_1	queries/xkw	2
Vir_N3_64_Ont_Opt_1	queries/xla	0
Vir_N3_64_Ont_Opt_1	queries/xlp	2
Vir_N3_64_Ont_Opt_1	queries/xls	4
Vir_N3_64_Ont_Opt_1	queries/xml	1
Vir_N3_64_Ont_Opt_1	queries/xnh	0
Vir_N3_64_Ont_Opt_1	queries/xob	0
Vir_N3_64_Ont_Opt_1	queries/xon	1
Vir_N3_64_Ont_Opt_1	queries/xpe	1
Vir_N3_64_Ont_Opt_1	queries/xpl	1
Vir_N3_64_Ont_Opt_1	queries/xpm	0
Vir_N3_64_Ont_Opt_1	queries/xpu	0
Vir_N3_64_Ont_Opt_1	queries/xpw	1
Vir_N3_64_Ont_Opt_1	queries/xqs	1
Vir_N3_64_Ont_Opt_1	queries/xqv	1
Vir_N3_64_Ont_Opt_1	queries/xrc	1
Vir_N3_64_Ont_Opt_1	queries/xrd	1
Vir_N3_64_Ont_Opt_1	queries/xre	1
Vir_N3_64_Ont_Opt_1	queries/xrv	1
Vir_N3_64_Ont_Opt_1	queries/xrw	1
Vir_N3_64_Ont_Opt_1	queries/xss	1
Vir_N3_64_Ont_Opt_1	queries/xta	1
Vir_N3_64_Ont_Opt_1	queries/xte	1
Vir_N3_64_Ont_Opt_1	queries/xto	1
Vir_N3_64_Ont_Opt_1	queries/xtw	2
Vir_N3_64_Ont_Opt_1	queries/xub	1
Vir_N3_64_Ont_Opt_1	queries/xuf	0
Vir_N3_64_Ont_Opt_1	queries/xuj	0
Vir_N3_64_Ont_Opt_1	queries/xum	1
Vir_N3_64_Ont_Opt_1	queries/xuq	1
Vir_N3_64_Ont_Opt_1	queries/xvb	1
Vir_N3_64_Ont_Opt_1	queries/xvp	1
Vir_N3_64_Ont_Opt_1	queries/xvv	1
Vir_N3_64_Ont_Opt_1	queries/xvy	1
Vir_N3_64_Ont_Opt_1	queries/xwa	1
Vir_N3_64_Ont_Opt_1	queries/xwc	1
Vir_N3_64_Ont_Opt_1	queries/xwf	2
Vir_N3_64_Ont_Opt_1	queries/xwk	20
Vir_N3_64_Ont_Opt_1	queries/xwm	1
Vir_N3_64_Ont_Opt_1	queries/xxk	1
Vir_N3_64_Ont_Opt_1	queries/xxl	1
Vir_N3_64_Ont_Opt_1	queries/xyf	1
Vir_N3_64_Ont_Opt_1	queries/xym	17
Vir_N3_64_Ont_Opt_1	queries/xyp	0
