sim_id	query_name	number_of_results
Vir_N3_64_Ont_Opt_AWS1	queries/xaj	2
Vir_N3_64_Ont_Opt_AWS1	queries/xak	1
Vir_N3_64_Ont_Opt_AWS1	queries/xat	1
Vir_N3_64_Ont_Opt_AWS1	queries/xbb	0
Vir_N3_64_Ont_Opt_AWS1	queries/xci	0
Vir_N3_64_Ont_Opt_AWS1	queries/xco	6
Vir_N3_64_Ont_Opt_AWS1	queries/xcv	1
Vir_N3_64_Ont_Opt_AWS1	queries/xdl	1
Vir_N3_64_Ont_Opt_AWS1	queries/xdo	0
Vir_N3_64_Ont_Opt_AWS1	queries/xds	2
Vir_N3_64_Ont_Opt_AWS1	queries/xdw	1
Vir_N3_64_Ont_Opt_AWS1	queries/xdz	1
Vir_N3_64_Ont_Opt_AWS1	queries/xei	1
Vir_N3_64_Ont_Opt_AWS1	queries/xfg	1
Vir_N3_64_Ont_Opt_AWS1	queries/xfl	1
Vir_N3_64_Ont_Opt_AWS1	queries/xha	0
Vir_N3_64_Ont_Opt_AWS1	queries/xhd	1
Vir_N3_64_Ont_Opt_AWS1	queries/xhj	1
Vir_N3_64_Ont_Opt_AWS1	queries/xhp	1
Vir_N3_64_Ont_Opt_AWS1	queries/xhv	1
Vir_N3_64_Ont_Opt_AWS1	queries/xjf	20
Vir_N3_64_Ont_Opt_AWS1	queries/xjl	2
Vir_N3_64_Ont_Opt_AWS1	queries/xjx	0
Vir_N3_64_Ont_Opt_AWS1	queries/xll	1
Vir_N3_64_Ont_Opt_AWS1	queries/xlt	1
Vir_N3_64_Ont_Opt_AWS1	queries/xlw	2
Vir_N3_64_Ont_Opt_AWS1	queries/xlx	1
Vir_N3_64_Ont_Opt_AWS1	queries/xmu	2
Vir_N3_64_Ont_Opt_AWS1	queries/xoa	1
Vir_N3_64_Ont_Opt_AWS1	queries/xog	1
Vir_N3_64_Ont_Opt_AWS1	queries/xow	0
Vir_N3_64_Ont_Opt_AWS1	queries/xpe	1
Vir_N3_64_Ont_Opt_AWS1	queries/xpf	1
Vir_N3_64_Ont_Opt_AWS1	queries/xph	1
Vir_N3_64_Ont_Opt_AWS1	queries/xpq	1
Vir_N3_64_Ont_Opt_AWS1	queries/xqa	1
Vir_N3_64_Ont_Opt_AWS1	queries/xqb	1
Vir_N3_64_Ont_Opt_AWS1	queries/xqw	0
Vir_N3_64_Ont_Opt_AWS1	queries/xrh	0
Vir_N3_64_Ont_Opt_AWS1	queries/xri	1
Vir_N3_64_Ont_Opt_AWS1	queries/xrm	1
Vir_N3_64_Ont_Opt_AWS1	queries/xrr	1
Vir_N3_64_Ont_Opt_AWS1	queries/xru	1
Vir_N3_64_Ont_Opt_AWS1	queries/xtc	1
Vir_N3_64_Ont_Opt_AWS1	queries/xtj	1
Vir_N3_64_Ont_Opt_AWS1	queries/xtm	0
Vir_N3_64_Ont_Opt_AWS1	queries/xtw	2
Vir_N3_64_Ont_Opt_AWS1	queries/xui	1
Vir_N3_64_Ont_Opt_AWS1	queries/xuy	0
Vir_N3_64_Ont_Opt_AWS1	queries/xvn	1
Vir_N3_64_Ont_Opt_AWS1	queries/xwa	1
Vir_N3_64_Ont_Opt_AWS1	queries/xwx	0
Vir_N3_64_Ont_Opt_AWS1	queries/xxb	1
Vir_N3_64_Ont_Opt_AWS1	queries/xxx	0
Vir_N3_64_Ont_Opt_AWS1	queries/xyl	0
Vir_N3_64_Ont_Opt_AWS1	queries/xyn	1
Vir_N3_64_Ont_Opt_AWS1	queries/xyo	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzaaa	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaac	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaah	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzaal	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaam	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzabh	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzabx	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzach	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzacx	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzadz	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzaeh	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaej	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzafd	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzahf	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzahp	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzahw	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzail	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaiq	2
Vir_N3_64_Ont_Opt_AWS1	queries/xzaiy	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaji	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzajo	1001
Vir_N3_64_Ont_Opt_AWS1	queries/xzakc	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzali	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzalj	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzalu	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzamj	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzamm	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzanb	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzann	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzanp	2
Vir_N3_64_Ont_Opt_AWS1	queries/xzanw	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzaob	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaoc	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaop	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzaoq	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzapq	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzare	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzary	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzasd	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzasi	1
Vir_N3_64_Ont_Opt_AWS1	queries/xzasp	0
Vir_N3_64_Ont_Opt_AWS1	queries/xzasw	1
