query_name	thread_type	success	errors	timeouts	median_runtime
queries/xbm	warmup	0.0	0.0	1.0	1200.0
queries/xel	warmup	0.0	0.0	1.0	1200.0
queries/xeu	warmup	0.0	0.0	1.0	1200.0
queries/xjf	warmup	0.0	0.0	1.0	1200.0
queries/xmt	warmup	0.0	0.0	1.0	1200.0
queries/xqc	warmup	0.0	0.0	1.0	1200.0
queries/xui	warmup	0.0	0.0	1.0	1200.0
queries/xwz	warmup	0.0	0.0	1.0	1200.0
queries/xyc	warmup	0.0	0.0	1.0	1200.0
queries/xzaaq	warmup	0.0	0.0	1.0	1200.0
queries/xzady	warmup	0.0	0.0	1.0	1200.0
queries/xzafy	warmup	0.0	0.0	1.0	1200.0
queries/xzahv	warmup	0.0	0.0	1.0	1200.0
queries/xzans	warmup	0.0	0.0	1.0	1200.0
queries/xzarw	warmup	0.0	0.0	1.0	1200.0
queries/xzase	warmup	0.0	0.0	1.0	1200.0
queries/xzauv	warmup	0.0	0.0	1.0	1200.0
queries/xzavw	warmup	0.0	0.0	1.0	1200.0
queries/xar	warmup	1.0	0.0	0.0	0.083620636
queries/xdm	warmup	1.0	0.0	0.0	0.055762834
queries/xdq	warmup	1.0	0.0	0.0	0.07184173099999999
queries/xfu	warmup	1.0	0.0	0.0	0.057615914
queries/xfx	warmup	1.0	0.0	0.0	0.134530365
queries/xht	warmup	1.0	0.0	0.0	0.213105329
queries/xid	warmup	1.0	0.0	0.0	178.03719582600002
queries/xlv	warmup	1.0	0.0	0.0	26.696181611999997
queries/xmr	warmup	1.0	0.0	0.0	0.342172929
queries/xnl	warmup	1.0	0.0	0.0	0.050367061
queries/xnt	warmup	1.0	0.0	0.0	0.053037172
queries/xnx	warmup	1.0	0.0	0.0	306.407729274
queries/xos	warmup	1.0	0.0	0.0	75.06409776400001
queries/xow	warmup	1.0	0.0	0.0	0.110962049
queries/xsg	warmup	1.0	0.0	0.0	2.9853021660000003
queries/xsl	warmup	1.0	0.0	0.0	0.054855259
queries/xsx	warmup	1.0	0.0	0.0	0.085060361
queries/xtt	warmup	1.0	0.0	0.0	0.113450285
queries/xuq	warmup	1.0	0.0	0.0	88.674527177
queries/xut	warmup	1.0	0.0	0.0	517.668039313
queries/xuy	warmup	1.0	0.0	0.0	0.17199630100000002
queries/xwo	warmup	1.0	0.0	0.0	6.7962800150000025
queries/xzabc	warmup	1.0	0.0	0.0	119.957330865
queries/xzabe	warmup	1.0	0.0	0.0	0.18325055
queries/xzaca	warmup	1.0	0.0	0.0	8.318150369000001
queries/xzado	warmup	1.0	0.0	0.0	0.070758295
queries/xzadw	warmup	1.0	0.0	0.0	115.860883696
queries/xzaeb	warmup	1.0	0.0	0.0	0.16475562300000002
queries/xzafx	warmup	1.0	0.0	0.0	0.077924504
queries/xzaga	warmup	1.0	0.0	0.0	14.940707872
queries/xzagg	warmup	1.0	0.0	0.0	651.5739472930001
queries/xzahr	warmup	1.0	0.0	0.0	74.83704932200001
queries/xzakg	warmup	1.0	0.0	0.0	63.230673632
queries/xzaln	warmup	1.0	0.0	0.0	12.885360660999998
queries/xzalo	warmup	1.0	0.0	0.0	52.323868387000005
queries/xzaqv	warmup	1.0	0.0	0.0	1155.572847875
