query_name	thread_type	success	errors	timeouts	median_runtime
C2/C2_split12.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split11.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split16.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split17.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split4.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split8.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split9.sparql	warmup	0.0	0.0	1.0	300.0
L2/L2_split6.sparql	warmup	0.0	0.0	1.0	300.0
C1/C1_split0.sparql	stress	5.0	0.0	0.0	4.859342971
C1/C1_split0.sparql	warmup	1.0	0.0	0.0	2.0243889569999998
C1/C1_split1.sparql	stress	5.0	0.0	0.0	5.112011772
C1/C1_split1.sparql	warmup	1.0	0.0	0.0	2.1369200150000003
C1/C1_split10.sparql	stress	5.0	0.0	0.0	5.479585202999999
C1/C1_split10.sparql	warmup	1.0	0.0	0.0	1.863267511
C1/C1_split11.sparql	stress	5.0	0.0	0.0	4.7680377080000005
C1/C1_split11.sparql	warmup	1.0	0.0	0.0	1.834760053
C1/C1_split12.sparql	stress	5.0	0.0	0.0	4.773916144
C1/C1_split12.sparql	warmup	1.0	0.0	0.0	1.932208694
C1/C1_split13.sparql	stress	5.0	0.0	0.0	4.933030051999999
C1/C1_split13.sparql	warmup	1.0	0.0	0.0	1.853469345
C1/C1_split14.sparql	stress	5.0	0.0	0.0	4.894160714
C1/C1_split14.sparql	warmup	1.0	0.0	0.0	1.933703643
C1/C1_split15.sparql	stress	5.0	0.0	0.0	4.708807764
C1/C1_split15.sparql	warmup	1.0	0.0	0.0	1.459503396
C1/C1_split16.sparql	stress	5.0	0.0	0.0	4.690956688
C1/C1_split16.sparql	warmup	1.0	0.0	0.0	2.0591341080000003
C1/C1_split17.sparql	stress	5.0	0.0	0.0	4.8343644800000005
C1/C1_split17.sparql	warmup	1.0	0.0	0.0	1.939949239
C1/C1_split18.sparql	stress	5.0	0.0	0.0	5.03316857
C1/C1_split18.sparql	warmup	1.0	0.0	0.0	1.887129614
C1/C1_split19.sparql	stress	5.0	0.0	0.0	4.847713162
C1/C1_split19.sparql	warmup	1.0	0.0	0.0	2.030092654
C1/C1_split2.sparql	stress	5.0	0.0	0.0	4.93503075
C1/C1_split2.sparql	warmup	1.0	0.0	0.0	1.888108789
C1/C1_split3.sparql	stress	5.0	0.0	0.0	4.82848859
C1/C1_split3.sparql	warmup	1.0	0.0	0.0	1.451237027
C1/C1_split4.sparql	stress	5.0	0.0	0.0	4.835283639
C1/C1_split4.sparql	warmup	1.0	0.0	0.0	1.865783383
C1/C1_split5.sparql	stress	5.0	0.0	0.0	4.860903161
C1/C1_split5.sparql	warmup	1.0	0.0	0.0	242.23239270599998
C1/C1_split6.sparql	stress	5.0	0.0	0.0	5.703597715
C1/C1_split6.sparql	warmup	1.0	0.0	0.0	1.4167836500000002
C1/C1_split7.sparql	stress	5.0	0.0	0.0	4.801745815
C1/C1_split7.sparql	warmup	1.0	0.0	0.0	1.753767396
C1/C1_split8.sparql	stress	5.0	0.0	0.0	4.732544742
C1/C1_split8.sparql	warmup	1.0	0.0	0.0	1.844143965
C1/C1_split9.sparql	stress	5.0	0.0	0.0	5.177621265
C1/C1_split9.sparql	warmup	1.0	0.0	0.0	1.895758117
C2/C2_split0.sparql	stress	5.0	0.0	0.0	17.944519185999997
C2/C2_split0.sparql	warmup	1.0	0.0	0.0	6.847015365
C2/C2_split1.sparql	stress	5.0	0.0	0.0	17.163357356
C2/C2_split1.sparql	warmup	1.0	0.0	0.0	7.33900869
C2/C2_split10.sparql	stress	5.0	0.0	0.0	16.920905898
C2/C2_split10.sparql	warmup	1.0	0.0	0.0	7.35696336
C2/C2_split11.sparql	stress	5.0	0.0	0.0	18.104883384
C2/C2_split11.sparql	warmup	1.0	0.0	0.0	7.070631382999999
C2/C2_split12.sparql	stress	5.0	0.0	0.0	17.581260438
C2/C2_split13.sparql	stress	5.0	0.0	0.0	18.929140959
C2/C2_split13.sparql	warmup	1.0	0.0	0.0	5.555115542999999
C2/C2_split14.sparql	stress	5.0	0.0	0.0	16.767831083
C2/C2_split14.sparql	warmup	1.0	0.0	0.0	7.297124986
C2/C2_split15.sparql	stress	5.0	0.0	0.0	17.213226488
C2/C2_split15.sparql	warmup	1.0	0.0	0.0	6.9223023060000015
C2/C2_split16.sparql	stress	5.0	0.0	0.0	18.952062181
C2/C2_split16.sparql	warmup	1.0	0.0	0.0	7.342814388
C2/C2_split17.sparql	stress	5.0	0.0	0.0	17.64189529
C2/C2_split17.sparql	warmup	1.0	0.0	0.0	18.129266043
C2/C2_split18.sparql	stress	5.0	0.0	0.0	18.123014659000003
C2/C2_split18.sparql	warmup	1.0	0.0	0.0	6.967989082999999
C2/C2_split19.sparql	stress	5.0	0.0	0.0	17.332111834000006
C2/C2_split19.sparql	warmup	1.0	0.0	0.0	6.943879137000001
C2/C2_split2.sparql	stress	5.0	0.0	0.0	18.494387960999997
C2/C2_split2.sparql	warmup	1.0	0.0	0.0	6.393783138
C2/C2_split3.sparql	stress	5.0	0.0	0.0	17.328693629
C2/C2_split3.sparql	warmup	1.0	0.0	0.0	6.403204810999999
C2/C2_split4.sparql	stress	5.0	0.0	0.0	16.203145256
C2/C2_split4.sparql	warmup	1.0	0.0	0.0	7.202179424
C2/C2_split5.sparql	stress	5.0	0.0	0.0	17.806456307999998
C2/C2_split5.sparql	warmup	1.0	0.0	0.0	7.164431372
C2/C2_split6.sparql	stress	5.0	0.0	0.0	17.223243983
C2/C2_split6.sparql	warmup	1.0	0.0	0.0	6.131306031
C2/C2_split7.sparql	stress	5.0	0.0	0.0	17.876936013999995
C2/C2_split7.sparql	warmup	1.0	0.0	0.0	7.222456597000001
C2/C2_split8.sparql	stress	5.0	0.0	0.0	19.37229633
C2/C2_split8.sparql	warmup	1.0	0.0	0.0	7.7731636019999995
C2/C2_split9.sparql	stress	5.0	0.0	0.0	18.257509228
C2/C2_split9.sparql	warmup	1.0	0.0	0.0	7.299884935
C3/C3_split0.sparql	stress	5.0	0.0	0.0	259.202264553
C3/C3_split0.sparql	warmup	1.0	0.0	0.0	196.32825137400002
C3/C3_split1.sparql	stress	5.0	0.0	0.0	256.566344512
C3/C3_split1.sparql	warmup	1.0	0.0	0.0	121.900345889
C3/C3_split10.sparql	stress	5.0	0.0	0.0	257.822773064
C3/C3_split10.sparql	warmup	1.0	0.0	0.0	121.472204165
C3/C3_split11.sparql	stress	5.0	0.0	0.0	262.122226657
C3/C3_split12.sparql	stress	5.0	0.0	0.0	261.41314116
C3/C3_split12.sparql	warmup	1.0	0.0	0.0	119.66270013
C3/C3_split13.sparql	stress	5.0	0.0	0.0	258.250848355
C3/C3_split13.sparql	warmup	1.0	0.0	0.0	125.34531854
C3/C3_split14.sparql	stress	5.0	0.0	0.0	249.363897887
C3/C3_split14.sparql	warmup	1.0	0.0	0.0	120.992816373
C3/C3_split15.sparql	stress	5.0	0.0	0.0	261.14587884599996
C3/C3_split15.sparql	warmup	1.0	0.0	0.0	121.961878848
C3/C3_split16.sparql	stress	5.0	0.0	0.0	260.88801625599996
C3/C3_split17.sparql	stress	5.0	0.0	0.0	260.519309957
C3/C3_split18.sparql	stress	5.0	0.0	0.0	256.043432065
C3/C3_split18.sparql	warmup	1.0	0.0	0.0	123.88757749
C3/C3_split19.sparql	stress	5.0	0.0	0.0	242.37804449599997
C3/C3_split19.sparql	warmup	1.0	0.0	0.0	121.53547312200001
C3/C3_split2.sparql	stress	5.0	0.0	0.0	261.682681602
C3/C3_split2.sparql	warmup	1.0	0.0	0.0	122.909494721
C3/C3_split3.sparql	stress	5.0	0.0	0.0	270.21353742599996
C3/C3_split3.sparql	warmup	1.0	0.0	0.0	122.584679101
C3/C3_split4.sparql	stress	5.0	0.0	0.0	258.345981449
C3/C3_split5.sparql	stress	5.0	0.0	0.0	254.65437939900002
C3/C3_split5.sparql	warmup	1.0	0.0	0.0	122.01909270200001
C3/C3_split6.sparql	stress	5.0	0.0	0.0	262.01333365
C3/C3_split6.sparql	warmup	1.0	0.0	0.0	123.38302745899999
C3/C3_split7.sparql	stress	5.0	0.0	0.0	238.627249628
C3/C3_split7.sparql	warmup	1.0	0.0	0.0	125.60974693899999
C3/C3_split8.sparql	stress	5.0	0.0	0.0	254.161878003
C3/C3_split9.sparql	stress	5.0	0.0	0.0	262.402767032
F1/F1_split0.sparql	stress	5.0	0.0	0.0	0.66752482
F1/F1_split0.sparql	warmup	1.0	0.0	0.0	0.27944945
F1/F1_split1.sparql	stress	5.0	0.0	0.0	0.797494525
F1/F1_split1.sparql	warmup	1.0	0.0	0.0	0.219820856
F1/F1_split10.sparql	stress	5.0	0.0	0.0	0.6135159410000001
F1/F1_split10.sparql	warmup	1.0	0.0	0.0	1.97630468
F1/F1_split11.sparql	stress	5.0	0.0	0.0	0.600535996
F1/F1_split11.sparql	warmup	1.0	0.0	0.0	0.479049422
F1/F1_split12.sparql	stress	5.0	0.0	0.0	0.7176555
F1/F1_split12.sparql	warmup	1.0	0.0	0.0	0.229056258
F1/F1_split13.sparql	stress	5.0	0.0	0.0	0.6742774970000001
F1/F1_split13.sparql	warmup	1.0	0.0	0.0	0.219026157
F1/F1_split14.sparql	stress	5.0	0.0	0.0	0.599340946
F1/F1_split14.sparql	warmup	1.0	0.0	0.0	0.25644678800000004
F1/F1_split15.sparql	stress	5.0	0.0	0.0	0.5778621939999999
F1/F1_split15.sparql	warmup	1.0	0.0	0.0	36.716864324
F1/F1_split16.sparql	stress	5.0	0.0	0.0	0.591028651
F1/F1_split16.sparql	warmup	1.0	0.0	0.0	0.532314989
F1/F1_split17.sparql	stress	5.0	0.0	0.0	0.616514013
