query_name	thread_type	success	errors	timeouts	median_runtime
queries/xab	stress	0.0	0.0	5.0	1200.0
queries/xab	warmup	0.0	0.0	1.0	1200.0
queries/xac	stress	4.0	0.0	1.0	1.638196499
queries/xae	stress	3.0	0.0	2.0	128.023016327
queries/xaj	stress	0.0	0.0	5.0	1200.0
queries/xaj	warmup	0.0	0.0	1.0	1200.0
queries/xak	stress	3.0	0.0	2.0	467.59294806800006
queries/xal	stress	3.0	1.0	1.0	0.9433303075000001
queries/xam	stress	4.0	0.0	1.0	96.625406766
queries/xan	stress	4.0	0.0	1.0	0.590096984
queries/xao	stress	3.0	0.0	2.0	42.811389463000005
queries/xap	stress	3.0	0.0	2.0	0.5604448120000001
queries/xaq	stress	4.0	0.0	1.0	80.487527634
queries/xas	stress	4.0	0.0	1.0	0.711082075
queries/xau	stress	4.0	0.0	1.0	2.857273692
queries/xav	stress	4.0	0.0	1.0	1.808009196
queries/xaw	stress	4.0	0.0	1.0	24.32738676
queries/xax	stress	4.0	0.0	1.0	199.79202304900002
queries/xay	stress	3.0	1.0	1.0	1.2434563885
queries/xaz	stress	3.0	0.0	2.0	0.440683878
queries/xbb	stress	2.0	0.0	3.0	1200.0
queries/xbc	stress	3.0	0.0	2.0	0.59406718
queries/xbd	stress	0.0	4.0	1.0	1200.0
queries/xbf	stress	4.0	0.0	1.0	0.623716708
queries/xbj	stress	4.0	0.0	1.0	29.082111126999997
queries/xbk	stress	3.0	0.0	2.0	53.253986086000005
queries/xbl	stress	4.0	0.0	1.0	0.962833627
queries/xbm	stress	0.0	4.0	1.0	1200.0
queries/xbn	stress	0.0	4.0	1.0	1200.0
queries/xbp	stress	0.0	3.0	2.0	1200.0
queries/xbr	stress	0.0	4.0	1.0	1200.0
queries/xbs	stress	0.0	4.0	1.0	1200.0
queries/xbt	stress	3.0	0.0	2.0	3.605057306
queries/xbv	stress	0.0	4.0	1.0	1200.0
queries/xbw	stress	4.0	0.0	1.0	0.671263362
queries/xbx	stress	0.0	3.0	2.0	1200.0
queries/xbz	stress	0.0	1.0	4.0	1200.0
queries/xca	stress	3.0	1.0	1.0	0.802816172
queries/xcc	stress	0.0	1.0	4.0	1200.0
queries/xcc	warmup	0.0	0.0	1.0	1200.0
queries/xcf	stress	3.0	0.0	2.0	27.380024875
queries/xcg	stress	4.0	0.0	1.0	1.0377698709999998
queries/xch	stress	0.0	4.0	1.0	1200.0
queries/xci	stress	3.0	0.0	2.0	128.33260752799998
queries/xcj	stress	0.0	4.0	1.0	1200.0
queries/xck	stress	0.0	2.0	3.0	1200.0
queries/xcl	stress	0.0	3.0	2.0	1200.0
queries/xcm	stress	0.0	3.0	2.0	1200.0
queries/xcq	stress	0.0	4.0	1.0	1200.0
queries/xcr	stress	0.0	3.0	2.0	1200.0
queries/xcs	stress	4.0	0.0	1.0	93.670431441
queries/xcu	stress	0.0	4.0	1.0	1200.0
queries/xda	stress	4.0	0.0	1.0	8.07935221
queries/xdc	stress	1.0	2.0	2.0	1200.0
queries/xdd	stress	4.0	0.0	1.0	36.760585825999996
queries/xde	stress	2.0	1.0	2.0	648.923870221
queries/xdf	stress	4.0	0.0	1.0	0.474409153
queries/xdg	stress	4.0	0.0	1.0	0.589074723
queries/xdj	stress	3.0	0.0	2.0	0.282327885
queries/xdk	stress	4.0	0.0	1.0	1.318653365
queries/xdl	stress	0.0	4.0	1.0	1200.0
queries/xdm	stress	2.0	1.0	2.0	600.2034688025
queries/xdo	stress	2.0	2.0	1.0	0.440046809
queries/xdq	stress	4.0	0.0	1.0	0.7580816589999999
queries/xds	stress	0.0	4.0	1.0	1200.0
queries/xdu	stress	4.0	0.0	1.0	0.8693567609999999
queries/xdv	stress	3.0	1.0	1.0	1.0625436045
queries/xdw	stress	4.0	0.0	1.0	77.93256367800001
queries/xdx	stress	3.0	0.0	2.0	0.8690762790000001
queries/xdz	stress	4.0	0.0	1.0	6.770423363
queries/xec	stress	2.0	0.0	3.0	1200.0
