query_name	thread_type	success	errors	timeouts	median_runtime
queries/xbq	warmup	0.0	0.0	1.0	1200.0
queries/xdg	warmup	0.0	0.0	1.0	1200.0
queries/xfn	warmup	0.0	0.0	1.0	1200.0
queries/xgg	warmup	0.0	0.0	1.0	1200.0
queries/xnh	warmup	0.0	0.0	1.0	1200.0
queries/xog	warmup	0.0	0.0	1.0	1200.0
queries/xwi	warmup	0.0	0.0	1.0	1200.0
queries/xyy	warmup	0.0	0.0	1.0	1200.0
queries/xzabk	warmup	0.0	0.0	1.0	1200.0
queries/xzadf	warmup	0.0	0.0	1.0	1200.0
queries/xzagr	warmup	0.0	0.0	1.0	1200.0
queries/xzaif	warmup	0.0	0.0	1.0	1200.0
queries/xzalc	warmup	0.0	0.0	1.0	1200.0
queries/xzals	warmup	0.0	0.0	1.0	1200.0
queries/xzamh	warmup	0.0	0.0	1.0	1200.0
queries/xzaus	warmup	0.0	0.0	1.0	1200.0
queries/xbp	stress	0.0	2.0	0.0	1200.0
queries/xbp	warmup	0.0	1.0	0.0	1200.0
queries/xbr	stress	0.0	1.0	0.0	1200.0
queries/xbr	warmup	0.0	1.0	0.0	1200.0
queries/xcr	warmup	0.0	1.0	0.0	1200.0
queries/xmd	stress	0.0	1.0	0.0	1200.0
queries/xmd	warmup	0.0	1.0	0.0	1200.0
queries/xuh	stress	0.0	1.0	0.0	1200.0
queries/xuh	warmup	0.0	1.0	0.0	1200.0
queries/xzamq	stress	0.0	2.0	0.0	1200.0
queries/xzamq	warmup	0.0	1.0	0.0	1200.0
queries/xzapx	stress	0.0	3.0	0.0	1200.0
queries/xzapx	warmup	0.0	1.0	0.0	1200.0
queries/xzaqc	warmup	0.0	1.0	0.0	1200.0
queries/xaa	stress	2.0	0.0	0.0	0.8135334255
queries/xaa	warmup	1.0	0.0	0.0	0.026014615
queries/xab	stress	2.0	0.0	0.0	3.0517874125
queries/xab	warmup	1.0	0.0	0.0	0.041653608
queries/xac	warmup	1.0	0.0	0.0	0.0077629330000000005
queries/xad	stress	1.0	0.0	0.0	3.288059935
queries/xad	warmup	1.0	0.0	0.0	0.007661589
queries/xae	stress	2.0	0.0	0.0	45.21108200850001
queries/xae	warmup	1.0	0.0	0.0	336.81415064299995
queries/xag	stress	1.0	0.0	0.0	13.381026136
queries/xag	warmup	1.0	0.0	0.0	0.465538362
queries/xah	warmup	1.0	0.0	0.0	0.008282145999999999
queries/xai	stress	1.0	0.0	0.0	0.17955348699999998
queries/xai	warmup	1.0	0.0	0.0	0.005739313
queries/xaj	warmup	1.0	0.0	0.0	5.890636286
queries/xak	warmup	1.0	0.0	0.0	1.26852199
queries/xal	stress	2.0	0.0	0.0	0.0046694685
queries/xal	warmup	1.0	0.0	0.0	0.006001902
queries/xam	warmup	1.0	0.0	0.0	0.006548305
queries/xan	stress	1.0	0.0	0.0	0.004068418999999999
queries/xan	warmup	1.0	0.0	0.0	0.00822439
queries/xao	stress	2.0	0.0	0.0	19.433572695499997
queries/xao	warmup	1.0	0.0	0.0	0.012116473
queries/xap	stress	2.0	0.0	0.0	363.4178876715
queries/xap	warmup	1.0	0.0	0.0	0.006497528000000001
queries/xaq	stress	2.0	0.0	0.0	8.4225246345
queries/xaq	warmup	1.0	0.0	0.0	0.00675352
queries/xar	stress	3.0	0.0	0.0	0.505237445
queries/xar	warmup	1.0	0.0	0.0	0.007101448999999998
