query_name	thread_type	success	errors	timeouts	median_runtime
C3/C3_split0.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split0.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split1.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split1.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split10.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split10.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split11.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split11.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split12.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split12.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split13.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split13.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split14.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split14.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split15.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split15.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split16.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split16.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split17.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split17.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split18.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split18.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split19.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split19.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split2.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split2.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split3.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split3.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split4.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split4.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split5.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split5.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split6.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split6.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split7.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split7.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split8.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split8.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split9.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split9.sparql	warmup	0.0	0.0	1.0	300.0
C1/C1_split0.sparql	stress	5.0	0.0	0.0	8.955641562
C1/C1_split0.sparql	warmup	1.0	0.0	0.0	8.744604539
C1/C1_split1.sparql	stress	5.0	0.0	0.0	9.039072421
C1/C1_split1.sparql	warmup	1.0	0.0	0.0	8.890611011999997
C1/C1_split10.sparql	stress	5.0	0.0	0.0	9.071417958
C1/C1_split10.sparql	warmup	1.0	0.0	0.0	8.564269925000001
C1/C1_split11.sparql	stress	5.0	0.0	0.0	8.860253384
C1/C1_split11.sparql	warmup	1.0	0.0	0.0	8.758730202
C1/C1_split12.sparql	stress	5.0	0.0	0.0	8.455300101999999
C1/C1_split12.sparql	warmup	1.0	0.0	0.0	8.279102676
C1/C1_split13.sparql	stress	5.0	0.0	0.0	8.754923899
C1/C1_split13.sparql	warmup	1.0	0.0	0.0	8.118154062999999
C1/C1_split14.sparql	stress	5.0	0.0	0.0	8.847776472
C1/C1_split14.sparql	warmup	1.0	0.0	0.0	8.18831559
C1/C1_split15.sparql	stress	5.0	0.0	0.0	8.696089731
C1/C1_split15.sparql	warmup	1.0	0.0	0.0	8.333268853
C1/C1_split16.sparql	stress	5.0	0.0	0.0	9.127987053
C1/C1_split16.sparql	warmup	1.0	0.0	0.0	9.010726819
C1/C1_split17.sparql	stress	5.0	0.0	0.0	8.969810971000001
C1/C1_split17.sparql	warmup	1.0	0.0	0.0	8.231119823
C1/C1_split18.sparql	stress	5.0	0.0	0.0	8.765537878
C1/C1_split18.sparql	warmup	1.0	0.0	0.0	8.529095353999999
C1/C1_split19.sparql	stress	5.0	0.0	0.0	9.752376012000001
C1/C1_split19.sparql	warmup	1.0	0.0	0.0	8.466887427
C1/C1_split2.sparql	stress	5.0	0.0	0.0	9.298870037999999
C1/C1_split2.sparql	warmup	1.0	0.0	0.0	8.528466967
C1/C1_split3.sparql	stress	5.0	0.0	0.0	8.861088033
C1/C1_split3.sparql	warmup	1.0	0.0	0.0	10.799191320999999
C1/C1_split4.sparql	stress	5.0	0.0	0.0	9.184982051
C1/C1_split4.sparql	warmup	1.0	0.0	0.0	8.240145338
C1/C1_split5.sparql	stress	5.0	0.0	0.0	8.827288148
C1/C1_split5.sparql	warmup	1.0	0.0	0.0	8.921179002
C1/C1_split6.sparql	stress	5.0	0.0	0.0	9.972981513999999
C1/C1_split6.sparql	warmup	1.0	0.0	0.0	7.916551518999999
C1/C1_split7.sparql	stress	5.0	0.0	0.0	8.919164087999999
C1/C1_split7.sparql	warmup	1.0	0.0	0.0	8.729862476000001
C1/C1_split8.sparql	stress	5.0	0.0	0.0	8.576073171
C1/C1_split8.sparql	warmup	1.0	0.0	0.0	8.538288383
C1/C1_split9.sparql	stress	5.0	0.0	0.0	8.795413194
C1/C1_split9.sparql	warmup	1.0	0.0	0.0	8.131102151
C2/C2_split0.sparql	stress	5.0	0.0	0.0	5.807187718
C2/C2_split0.sparql	warmup	1.0	0.0	0.0	4.994186213
C2/C2_split1.sparql	stress	5.0	0.0	0.0	5.8372741470000005
C2/C2_split1.sparql	warmup	1.0	0.0	0.0	5.11106518
C2/C2_split10.sparql	stress	5.0	0.0	0.0	5.39319554
C2/C2_split10.sparql	warmup	1.0	0.0	0.0	5.055572523
C2/C2_split11.sparql	stress	5.0	0.0	0.0	5.187374623999999
C2/C2_split11.sparql	warmup	1.0	0.0	0.0	5.190999099
C2/C2_split12.sparql	stress	5.0	0.0	0.0	5.266610568
C2/C2_split12.sparql	warmup	1.0	0.0	0.0	5.164713476
C2/C2_split13.sparql	stress	5.0	0.0	0.0	5.3115141580000005
C2/C2_split13.sparql	warmup	1.0	0.0	0.0	5.096834189
C2/C2_split14.sparql	stress	5.0	0.0	0.0	5.5159893260000015
C2/C2_split14.sparql	warmup	1.0	0.0	0.0	5.259686952
C2/C2_split15.sparql	stress	5.0	0.0	0.0	5.358566784
