query_name	thread_type	success	errors	timeouts	median_runtime
queries/xab	warmup	0.0	0.0	1.0	1200.0
queries/xaf	warmup	0.0	0.0	1.0	1200.0
queries/xaw	warmup	0.0	0.0	1.0	1200.0
queries/xbe	warmup	0.0	0.0	1.0	1200.0
queries/xbk	warmup	0.0	0.0	1.0	1200.0
queries/xbr	warmup	0.0	0.0	1.0	1200.0
queries/xbv	warmup	0.0	0.0	1.0	1200.0
queries/xcb	warmup	0.0	0.0	1.0	1200.0
queries/xce	warmup	0.0	0.0	1.0	1200.0
queries/xcm	warmup	0.0	0.0	1.0	1200.0
queries/xcw	warmup	0.0	0.0	1.0	1200.0
queries/xdb	warmup	0.0	0.0	1.0	1200.0
queries/xdc	warmup	0.0	0.0	1.0	1200.0
queries/xdl	warmup	0.0	0.0	1.0	1200.0
queries/xdw	warmup	0.0	0.0	1.0	1200.0
queries/xdy	warmup	0.0	0.0	1.0	1200.0
queries/xdz	warmup	0.0	0.0	1.0	1200.0
queries/xeg	warmup	0.0	0.0	1.0	1200.0
queries/xei	warmup	0.0	0.0	1.0	1200.0
queries/xep	warmup	0.0	0.0	1.0	1200.0
queries/xeu	warmup	0.0	0.0	1.0	1200.0
queries/xfk	warmup	0.0	0.0	1.0	1200.0
queries/xfr	warmup	0.0	0.0	1.0	1200.0
queries/xfw	warmup	0.0	0.0	1.0	1200.0
queries/xga	warmup	0.0	0.0	1.0	1200.0
queries/xgd	warmup	0.0	0.0	1.0	1200.0
queries/xgg	warmup	0.0	0.0	1.0	1200.0
queries/xgj	warmup	0.0	0.0	1.0	1200.0
queries/xgl	warmup	0.0	0.0	1.0	1200.0
queries/xgn	warmup	0.0	0.0	1.0	1200.0
queries/xgr	warmup	0.0	0.0	1.0	1200.0
queries/xhr	warmup	0.0	0.0	1.0	1200.0
queries/xid	warmup	0.0	0.0	1.0	1200.0
queries/xif	warmup	0.0	0.0	1.0	1200.0
queries/xja	warmup	0.0	0.0	1.0	1200.0
queries/xjg	warmup	0.0	0.0	1.0	1200.0
queries/xjo	warmup	0.0	0.0	1.0	1200.0
queries/xjq	warmup	0.0	0.0	1.0	1200.0
queries/xjy	warmup	0.0	0.0	1.0	1200.0
queries/xjz	warmup	0.0	0.0	1.0	1200.0
queries/xke	warmup	0.0	0.0	1.0	1200.0
queries/xkf	warmup	0.0	0.0	1.0	1200.0
queries/xkg	warmup	0.0	0.0	1.0	1200.0
queries/xkh	warmup	0.0	0.0	1.0	1200.0
queries/xkk	warmup	0.0	0.0	1.0	1200.0
queries/xkl	warmup	0.0	0.0	1.0	1200.0
queries/xkq	warmup	0.0	0.0	1.0	1200.0
queries/xlg	warmup	0.0	0.0	1.0	1200.0
queries/xlh	warmup	0.0	0.0	1.0	1200.0
queries/xlj	warmup	0.0	0.0	1.0	1200.0
queries/xlt	warmup	0.0	0.0	1.0	1200.0
queries/xmd	warmup	0.0	0.0	1.0	1200.0
queries/xmf	warmup	0.0	0.0	1.0	1200.0
queries/xmz	warmup	0.0	0.0	1.0	1200.0
queries/xnc	warmup	0.0	0.0	1.0	1200.0
queries/xni	warmup	0.0	0.0	1.0	1200.0
queries/xno	warmup	0.0	0.0	1.0	1200.0
queries/xnx	warmup	0.0	0.0	1.0	1200.0
queries/xoe	warmup	0.0	0.0	1.0	1200.0
queries/xoi	warmup	0.0	0.0	1.0	1200.0
queries/xol	warmup	0.0	0.0	1.0	1200.0
queries/xov	warmup	0.0	0.0	1.0	1200.0
queries/xpl	warmup	0.0	0.0	1.0	1200.0
queries/xpp	warmup	0.0	0.0	1.0	1200.0
queries/xpq	warmup	0.0	0.0	1.0	1200.0
queries/xpv	warmup	0.0	0.0	1.0	1200.0
queries/xpw	warmup	0.0	0.0	1.0	1200.0
queries/xpy	warmup	0.0	0.0	1.0	1200.0
queries/xqd	warmup	0.0	0.0	1.0	1200.0
queries/xqe	warmup	0.0	0.0	1.0	1200.0
queries/xqi	warmup	0.0	0.0	1.0	1200.0
queries/xqm	warmup	0.0	0.0	1.0	1200.0
queries/xqr	warmup	0.0	0.0	1.0	1200.0
queries/xqx	warmup	0.0	0.0	1.0	1200.0
queries/xqy	warmup	0.0	0.0	1.0	1200.0
queries/xrb	warmup	0.0	0.0	1.0	1200.0
queries/xrr	warmup	0.0	0.0	1.0	1200.0
queries/xsb	warmup	0.0	0.0	1.0	1200.0
queries/xsh	warmup	0.0	0.0	1.0	1200.0
queries/xsj	warmup	0.0	0.0	1.0	1200.0
queries/xtb	warmup	0.0	0.0	1.0	1200.0
queries/xti	warmup	0.0	0.0	1.0	1200.0
queries/xtk	warmup	0.0	0.0	1.0	1200.0
queries/xtn	warmup	0.0	0.0	1.0	1200.0
queries/xto	warmup	0.0	0.0	1.0	1200.0
queries/xtq	warmup	0.0	0.0	1.0	1200.0
queries/xtu	warmup	0.0	0.0	1.0	1200.0
queries/xty	warmup	0.0	0.0	1.0	1200.0
queries/xtz	warmup	0.0	0.0	1.0	1200.0
queries/xuk	warmup	0.0	0.0	1.0	1200.0
queries/xum	warmup	0.0	0.0	1.0	1200.0
queries/xuq	warmup	0.0	0.0	1.0	1200.0
queries/xut	warmup	0.0	0.0	1.0	1200.0
queries/xuv	warmup	0.0	0.0	1.0	1200.0
queries/xve	warmup	0.0	0.0	1.0	1200.0
queries/xvf	warmup	0.0	0.0	1.0	1200.0
queries/xvn	warmup	0.0	0.0	1.0	1200.0
queries/xvx	warmup	0.0	0.0	1.0	1200.0
queries/xvz	warmup	0.0	0.0	1.0	1200.0
queries/xwc	warmup	0.0	0.0	1.0	1200.0
queries/xwe	warmup	0.0	0.0	1.0	1200.0
queries/xwg	warmup	0.0	0.0	1.0	1200.0
queries/xwp	warmup	0.0	0.0	1.0	1200.0
queries/xwv	warmup	0.0	0.0	1.0	1200.0
queries/xxb	warmup	0.0	0.0	1.0	1200.0
queries/xxc	warmup	0.0	0.0	1.0	1200.0
queries/xxi	warmup	0.0	0.0	1.0	1200.0
queries/xxq	warmup	0.0	0.0	1.0	1200.0
queries/xxs	warmup	0.0	0.0	1.0	1200.0
queries/xxt	warmup	0.0	0.0	1.0	1200.0
queries/xyd	warmup	0.0	0.0	1.0	1200.0
queries/xyf	warmup	0.0	0.0	1.0	1200.0
queries/xyk	warmup	0.0	0.0	1.0	1200.0
queries/xym	warmup	0.0	0.0	1.0	1200.0
queries/xyt	warmup	0.0	0.0	1.0	1200.0
queries/xyv	warmup	0.0	0.0	1.0	1200.0
queries/xyy	warmup	0.0	0.0	1.0	1200.0
queries/xzaad	warmup	0.0	0.0	1.0	1200.0
queries/xzaag	warmup	0.0	0.0	1.0	1200.0
queries/xzaal	warmup	0.0	0.0	1.0	1200.0
queries/xzaan	warmup	0.0	0.0	1.0	1200.0
queries/xzaax	warmup	0.0	0.0	1.0	1200.0
queries/xzabi	warmup	0.0	0.0	1.0	1200.0
queries/xzabr	warmup	0.0	0.0	1.0	1200.0
queries/xzabv	warmup	0.0	0.0	1.0	1200.0
queries/xzacb	warmup	0.0	0.0	1.0	1200.0
queries/xzacc	warmup	0.0	0.0	1.0	1200.0
queries/xzace	warmup	0.0	0.0	1.0	1200.0
queries/xzaci	warmup	0.0	0.0	1.0	1200.0
queries/xzack	warmup	0.0	0.0	1.0	1200.0
queries/xzadc	warmup	0.0	0.0	1.0	1200.0
queries/xzadd	warmup	0.0	0.0	1.0	1200.0
queries/xzadt	warmup	0.0	0.0	1.0	1200.0
queries/xzadw	warmup	0.0	0.0	1.0	1200.0
queries/xzaei	warmup	0.0	0.0	1.0	1200.0
queries/xzaes	warmup	0.0	0.0	1.0	1200.0
queries/xzaev	warmup	0.0	0.0	1.0	1200.0
queries/xzaex	warmup	0.0	0.0	1.0	1200.0
queries/xzaey	warmup	0.0	0.0	1.0	1200.0
queries/xzaff	warmup	0.0	0.0	1.0	1200.0
