query_name	thread_type	success	errors	timeouts	median_runtime
C1/C1_split0.sparql	stress	10	0.0	0.0	0.35201733
C1/C1_split0.sparql	warmup	3	0.0	0.0	0.21150743
C1/C1_split1.sparql	stress	10	0.0	0.0	0.312334918
C1/C1_split1.sparql	warmup	3	0.0	0.0	0.217886111
C1/C1_split10.sparql	stress	10	0.0	0.0	0.23824316499999998
C1/C1_split10.sparql	warmup	3	0.0	0.0	0.215926777
C1/C1_split11.sparql	stress	10	0.0	0.0	0.2857560735
C1/C1_split11.sparql	warmup	3	0.0	0.0	0.210136248
C1/C1_split12.sparql	stress	10	0.0	0.0	0.37822981600000005
C1/C1_split12.sparql	warmup	3	0.0	0.0	0.209535645
C1/C1_split13.sparql	stress	10	0.0	0.0	0.339105276
C1/C1_split13.sparql	warmup	3	0.0	0.0	0.21185193100000002
C1/C1_split14.sparql	stress	10	0.0	0.0	0.4238822885
C1/C1_split14.sparql	warmup	3	0.0	0.0	0.212108116
C1/C1_split15.sparql	stress	10	0.0	0.0	0.425164961
C1/C1_split15.sparql	warmup	3	0.0	0.0	0.20976918
C1/C1_split16.sparql	stress	10	0.0	0.0	0.404214011
C1/C1_split16.sparql	warmup	3	0.0	0.0	0.216510794
C1/C1_split17.sparql	stress	10	0.0	0.0	0.24986199750000002
C1/C1_split17.sparql	warmup	3	0.0	0.0	0.217668307
C1/C1_split18.sparql	stress	10	0.0	0.0	0.319484888
C1/C1_split18.sparql	warmup	3	0.0	0.0	0.210509455
C1/C1_split19.sparql	stress	10	0.0	0.0	0.424928235
C1/C1_split19.sparql	warmup	3	0.0	0.0	0.217095212
C1/C1_split2.sparql	stress	10	0.0	0.0	0.384967118
C1/C1_split2.sparql	warmup	3	0.0	0.0	0.217610245
C1/C1_split20.sparql	stress	10	0.0	0.0	0.341673433
C1/C1_split20.sparql	warmup	3	0.0	0.0	0.215827797
C1/C1_split21.sparql	stress	10	0.0	0.0	0.38777471100000005
C1/C1_split21.sparql	warmup	3	0.0	0.0	0.21834173
C1/C1_split22.sparql	stress	10	0.0	0.0	0.3979843075
C1/C1_split22.sparql	warmup	3	0.0	0.0	0.209698723
C1/C1_split23.sparql	stress	10	0.0	0.0	0.3065520205
C1/C1_split23.sparql	warmup	3	0.0	0.0	0.209516228
C1/C1_split24.sparql	stress	10	0.0	0.0	0.4290798295
C1/C1_split24.sparql	warmup	3	0.0	0.0	0.21060047399999998
C1/C1_split25.sparql	stress	10	0.0	0.0	0.4879279205
C1/C1_split25.sparql	warmup	3	0.0	0.0	0.211847153
C1/C1_split26.sparql	stress	10	0.0	0.0	0.375608038
C1/C1_split26.sparql	warmup	3	0.0	0.0	0.213252715
C1/C1_split27.sparql	stress	10	0.0	0.0	0.24667167950000002
C1/C1_split27.sparql	warmup	3	0.0	0.0	0.214472943
C1/C1_split28.sparql	stress	10	0.0	0.0	0.379011102
C1/C1_split28.sparql	warmup	3	0.0	0.0	0.215171645
C1/C1_split29.sparql	stress	10	0.0	0.0	0.36616407149999997
C1/C1_split29.sparql	warmup	3	0.0	0.0	0.212466112
C1/C1_split3.sparql	stress	10	0.0	0.0	0.42826453600000003
C1/C1_split3.sparql	warmup	3	0.0	0.0	0.223515014
C1/C1_split30.sparql	stress	10	0.0	0.0	0.29415498100000004
C1/C1_split30.sparql	warmup	3	0.0	0.0	0.216091032
C1/C1_split31.sparql	stress	10	0.0	0.0	0.33333143350000005
C1/C1_split31.sparql	warmup	3	0.0	0.0	0.210383607
C1/C1_split32.sparql	stress	10	0.0	0.0	0.31526967
C1/C1_split32.sparql	warmup	3	0.0	0.0	0.21466855
C1/C1_split33.sparql	stress	10	0.0	0.0	0.4234478530000001
C1/C1_split33.sparql	warmup	3	0.0	0.0	0.21022157
C1/C1_split34.sparql	stress	10	0.0	0.0	0.430277481
