query_name	thread_type	success	errors	timeouts	median_runtime
queries/xab	stress	0.0	0.0	2.0	1200.0
queries/xae	stress	0.0	0.0	1.0	1200.0
queries/xaf	stress	0.0	0.0	1.0	1200.0
queries/xaf	warmup	0.0	0.0	1.0	1200.0
queries/xag	stress	0.0	0.0	1.0	1200.0
queries/xaj	stress	0.0	0.0	2.0	1200.0
queries/xaj	warmup	0.0	0.0	1.0	1200.0
queries/xak	stress	0.0	0.0	2.0	1200.0
queries/xak	warmup	0.0	0.0	1.0	1200.0
queries/xam	stress	0.0	0.0	2.0	1200.0
queries/xao	stress	3.0	0.0	1.0	66.747237012
queries/xap	stress	0.0	0.0	1.0	1200.0
queries/xas	stress	0.0	0.0	1.0	1200.0
queries/xax	warmup	0.0	0.0	1.0	1200.0
queries/xbd	stress	0.0	0.0	2.0	1200.0
queries/xbd	warmup	0.0	0.0	1.0	1200.0
queries/xbe	stress	0.0	0.0	1.0	1200.0
queries/xbh	stress	2.0	0.0	1.0	1086.1629794060002
queries/xbi	stress	1.0	0.0	1.0	635.6883575125
queries/xbj	stress	0.0	0.0	1.0	1200.0
queries/xbk	stress	0.0	0.0	1.0	1200.0
queries/xbk	warmup	0.0	0.0	1.0	1200.0
queries/xbn	stress	2.0	0.0	1.0	571.434309473
queries/xbp	warmup	0.0	0.0	1.0	1200.0
queries/xbr	stress	0.0	0.0	2.0	1200.0
queries/xbr	warmup	0.0	0.0	1.0	1200.0
queries/xbs	stress	0.0	0.0	2.0	1200.0
queries/xbs	warmup	0.0	0.0	1.0	1200.0
queries/xbu	stress	1.0	0.0	1.0	671.697747748
queries/xbv	stress	2.0	0.0	1.0	0.025473223
queries/xbz	stress	0.0	0.0	2.0	1200.0
queries/xce	warmup	0.0	0.0	1.0	1200.0
queries/xcf	stress	1.0	0.0	2.0	1200.0
queries/xck	stress	0.0	0.0	1.0	1200.0
queries/xck	warmup	0.0	0.0	1.0	1200.0
queries/xcl	stress	0.0	0.0	2.0	1200.0
queries/xcn	stress	0.0	0.0	1.0	1200.0
queries/xcn	warmup	0.0	0.0	1.0	1200.0
queries/xco	stress	1.0	0.0	1.0	627.1305073405
queries/xcq	stress	0.0	0.0	2.0	1200.0
queries/xcq	warmup	0.0	0.0	1.0	1200.0
queries/xcr	stress	0.0	0.0	1.0	1200.0
queries/xcr	warmup	0.0	0.0	1.0	1200.0
queries/xcs	stress	0.0	0.0	2.0	1200.0
queries/xcu	stress	0.0	0.0	2.0	1200.0
queries/xcv	stress	0.0	0.0	2.0	1200.0
queries/xcv	warmup	0.0	0.0	1.0	1200.0
queries/xcw	stress	0.0	0.0	1.0	1200.0
queries/xda	stress	2.0	0.0	1.0	0.009109264
queries/xdb	stress	0.0	0.0	1.0	1200.0
queries/xdc	stress	1.0	0.0	1.0	730.8968808285
queries/xde	stress	0.0	0.0	2.0	1200.0
queries/xde	warmup	0.0	0.0	1.0	1200.0
queries/xdf	stress	0.0	0.0	1.0	1200.0
queries/xdg	stress	1.0	0.0	1.0	620.0547008025
queries/xdl	stress	0.0	0.0	1.0	1200.0
