query_name	thread_type	success	errors	timeouts	median_runtime
C3/C3_split0.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split0.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split1.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split1.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split10.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split10.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split11.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split11.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split12.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split12.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split13.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split13.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split14.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split14.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split15.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split16.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split16.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split17.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split17.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split18.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split19.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split19.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split2.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split2.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split3.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split3.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split4.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split4.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split5.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split5.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split6.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split6.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split7.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split7.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split8.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split8.sparql	warmup	0.0	0.0	1.0	300.0
C3/C3_split9.sparql	stress	0.0	0.0	5.0	300.0
C3/C3_split9.sparql	warmup	0.0	0.0	1.0	300.0
C1/C1_split0.sparql	stress	5.0	0.0	0.0	40.099121782000005
C1/C1_split0.sparql	warmup	1.0	0.0	0.0	24.839123721
C1/C1_split1.sparql	stress	5.0	0.0	0.0	40.739712358
C1/C1_split1.sparql	warmup	1.0	0.0	0.0	26.199119799
C1/C1_split10.sparql	stress	5.0	0.0	0.0	42.379711056
C1/C1_split10.sparql	warmup	1.0	0.0	0.0	26.416998202
C1/C1_split11.sparql	stress	5.0	0.0	0.0	42.35612496
C1/C1_split11.sparql	warmup	1.0	0.0	0.0	53.48095213
C1/C1_split12.sparql	stress	5.0	0.0	0.0	41.423474036
C1/C1_split12.sparql	warmup	1.0	0.0	0.0	25.359113475999997
C1/C1_split13.sparql	stress	5.0	0.0	0.0	40.760276933
C1/C1_split13.sparql	warmup	1.0	0.0	0.0	25.076937711
C1/C1_split14.sparql	stress	5.0	0.0	0.0	41.936510851
C1/C1_split14.sparql	warmup	1.0	0.0	0.0	25.36174115
C1/C1_split15.sparql	stress	5.0	0.0	0.0	40.643687064
C1/C1_split15.sparql	warmup	1.0	0.0	0.0	29.467704416999997
C1/C1_split16.sparql	stress	5.0	0.0	0.0	41.030834843
C1/C1_split16.sparql	warmup	1.0	0.0	0.0	27.56866052
C1/C1_split17.sparql	stress	5.0	0.0	0.0	40.643202216
C1/C1_split17.sparql	warmup	1.0	0.0	0.0	25.335700293000002
C1/C1_split18.sparql	stress	5.0	0.0	0.0	40.046381074
C1/C1_split18.sparql	warmup	1.0	0.0	0.0	25.22279524
C1/C1_split19.sparql	stress	5.0	0.0	0.0	39.516107407
C1/C1_split19.sparql	warmup	1.0	0.0	0.0	27.256688610999998
C1/C1_split2.sparql	stress	5.0	0.0	0.0	41.755144388000005
C1/C1_split2.sparql	warmup	1.0	0.0	0.0	27.26263513
C1/C1_split3.sparql	stress	5.0	0.0	0.0	39.66114699
C1/C1_split3.sparql	warmup	1.0	0.0	0.0	25.055756496999997
C1/C1_split4.sparql	stress	5.0	0.0	0.0	41.7825148
C1/C1_split4.sparql	warmup	1.0	0.0	0.0	25.119254633
C1/C1_split5.sparql	stress	5.0	0.0	0.0	45.971965687
C1/C1_split5.sparql	warmup	1.0	0.0	0.0	25.356834231999997
C1/C1_split6.sparql	stress	5.0	0.0	0.0	41.470210346
C1/C1_split6.sparql	warmup	1.0	0.0	0.0	25.215917045999998
C1/C1_split7.sparql	stress	5.0	0.0	0.0	40.644228689
C1/C1_split7.sparql	warmup	1.0	0.0	0.0	25.365895522
C1/C1_split8.sparql	stress	5.0	0.0	0.0	41.117329115
C1/C1_split8.sparql	warmup	1.0	0.0	0.0	25.281751063
C1/C1_split9.sparql	stress	5.0	0.0	0.0	42.756608111
C1/C1_split9.sparql	warmup	1.0	0.0	0.0	25.337048394
C2/C2_split0.sparql	stress	5.0	0.0	0.0	26.009035405
C2/C2_split0.sparql	warmup	1.0	0.0	0.0	16.583985698
C2/C2_split1.sparql	stress	5.0	0.0	0.0	26.316735265
C2/C2_split1.sparql	warmup	1.0	0.0	0.0	16.621155805999994
C2/C2_split10.sparql	stress	5.0	0.0	0.0	26.304818106
C2/C2_split10.sparql	warmup	1.0	0.0	0.0	16.949495867000007
C2/C2_split11.sparql	stress	5.0	0.0	0.0	25.012629152
C2/C2_split11.sparql	warmup	1.0	0.0	0.0	50.073910932
C2/C2_split12.sparql	stress	5.0	0.0	0.0	25.692484921
C2/C2_split12.sparql	warmup	1.0	0.0	0.0	18.060485339
C2/C2_split13.sparql	stress	5.0	0.0	0.0	25.206628415
C2/C2_split13.sparql	warmup	1.0	0.0	0.0	16.612453719
C2/C2_split14.sparql	stress	5.0	0.0	0.0	26.27785792
C2/C2_split14.sparql	warmup	1.0	0.0	0.0	16.797245198
C2/C2_split15.sparql	stress	5.0	0.0	0.0	26.721194865999998
C2/C2_split15.sparql	warmup	1.0	0.0	0.0	16.756383388
C2/C2_split16.sparql	stress	5.0	0.0	0.0	25.107791271999996
