query_name	thread_type	success	errors	timeouts	median_runtime
S4/S4_split83.sparql	stress	4	1.0	0.0	0.0997776075
S7/S7_split83.sparql	stress	4	1.0	0.0	0.006499152500000001
C1/C1_split0.sparql	stress	5	0.0	0.0	16.819044639
C1/C1_split0.sparql	warmup	1	0.0	0.0	12.476001237
C1/C1_split1.sparql	stress	5	0.0	0.0	16.387800454
C1/C1_split1.sparql	warmup	1	0.0	0.0	12.356460392
C1/C1_split10.sparql	stress	5	0.0	0.0	17.374564658
C1/C1_split10.sparql	warmup	1	0.0	0.0	14.049493652999999
C1/C1_split11.sparql	stress	5	0.0	0.0	17.441280890999998
C1/C1_split11.sparql	warmup	1	0.0	0.0	8.450618103999997
C1/C1_split12.sparql	stress	5	0.0	0.0	17.002480419
C1/C1_split12.sparql	warmup	1	0.0	0.0	12.416192065999999
C1/C1_split13.sparql	stress	5	0.0	0.0	16.26717941
C1/C1_split13.sparql	warmup	1	0.0	0.0	12.241019408
C1/C1_split14.sparql	stress	5	0.0	0.0	16.629816364
C1/C1_split14.sparql	warmup	1	0.0	0.0	12.3697094
C1/C1_split15.sparql	stress	5	0.0	0.0	16.766745330000006
C1/C1_split15.sparql	warmup	1	0.0	0.0	12.526495342
C1/C1_split16.sparql	stress	5	0.0	0.0	16.793300284
C1/C1_split16.sparql	warmup	1	0.0	0.0	8.267477673
C1/C1_split17.sparql	stress	5	0.0	0.0	16.505564611
C1/C1_split17.sparql	warmup	1	0.0	0.0	12.515625507000001
C1/C1_split18.sparql	stress	5	0.0	0.0	16.935312565
C1/C1_split18.sparql	warmup	1	0.0	0.0	12.360320258
C1/C1_split19.sparql	stress	5	0.0	0.0	16.731912377
C1/C1_split19.sparql	warmup	1	0.0	0.0	13.238718189
C1/C1_split2.sparql	stress	5	0.0	0.0	17.399618766
C1/C1_split2.sparql	warmup	1	0.0	0.0	12.60680176
C1/C1_split20.sparql	stress	5	0.0	0.0	17.481858371999998
C1/C1_split20.sparql	warmup	1	0.0	0.0	12.575293862999999
C1/C1_split21.sparql	stress	5	0.0	0.0	17.634030345
C1/C1_split21.sparql	warmup	1	0.0	0.0	12.567887044
C1/C1_split22.sparql	stress	5	0.0	0.0	15.933784688
C1/C1_split22.sparql	warmup	1	0.0	0.0	12.504842548
C1/C1_split23.sparql	stress	5	0.0	0.0	16.159044316
C1/C1_split23.sparql	warmup	1	0.0	0.0	13.791997172
C1/C1_split24.sparql	stress	5	0.0	0.0	16.776212025
C1/C1_split24.sparql	warmup	1	0.0	0.0	12.326858178
C1/C1_split25.sparql	stress	5	0.0	0.0	16.288205762
C1/C1_split25.sparql	warmup	1	0.0	0.0	13.631618837000001
C1/C1_split26.sparql	stress	5	0.0	0.0	16.222888855999994
C1/C1_split26.sparql	warmup	1	0.0	0.0	8.474030489
C1/C1_split27.sparql	stress	5	0.0	0.0	17.305681055999994
C1/C1_split27.sparql	warmup	1	0.0	0.0	8.36909685
C1/C1_split28.sparql	stress	5	0.0	0.0	14.712688074
C1/C1_split28.sparql	warmup	1	0.0	0.0	8.524530140000001
C1/C1_split29.sparql	stress	5	0.0	0.0	17.008603053999998
C1/C1_split29.sparql	warmup	1	0.0	0.0	12.482541062000001
C1/C1_split3.sparql	stress	5	0.0	0.0	16.172959606
C1/C1_split3.sparql	warmup	1	0.0	0.0	11.165855582999999
C1/C1_split30.sparql	stress	5	0.0	0.0	16.430041962
C1/C1_split30.sparql	warmup	1	0.0	0.0	12.167562692
C1/C1_split31.sparql	stress	5	0.0	0.0	17.462808668
C1/C1_split31.sparql	warmup	1	0.0	0.0	8.832891766000001
C1/C1_split32.sparql	stress	5	0.0	0.0	16.705452416
C1/C1_split32.sparql	warmup	1	0.0	0.0	13.616784879
C1/C1_split33.sparql	stress	5	0.0	0.0	16.222628580000002
C1/C1_split33.sparql	warmup	1	0.0	0.0	13.767785424000001
C1/C1_split34.sparql	stress	5	0.0	0.0	16.453975685
C1/C1_split34.sparql	warmup	1	0.0	0.0	13.844695862
