query_name	thread_type	success	errors	timeouts	median_runtime
queries/xel	stress	0.0	0.0	5.0	1200.0
queries/xel	warmup	0.0	0.0	1.0	1200.0
queries/xlk	stress	0.0	0.0	5.0	1200.0
queries/xlk	warmup	0.0	0.0	1.0	1200.0
queries/xyy	stress	0.0	0.0	5.0	1200.0
queries/xyy	warmup	0.0	0.0	1.0	1200.0
queries/xzabk	stress	0.0	0.0	5.0	1200.0
queries/xzabk	warmup	0.0	0.0	1.0	1200.0
queries/xzadf	stress	0.0	0.0	5.0	1200.0
queries/xzadf	warmup	0.0	0.0	1.0	1200.0
queries/xzalc	stress	0.0	0.0	5.0	1200.0
queries/xzalc	warmup	0.0	0.0	1.0	1200.0
queries/xzauc	stress	4.0	0.0	1.0	1049.818883589
queries/xbp	stress	0.0	5.0	0.0	1200.0
queries/xbp	warmup	0.0	1.0	0.0	1200.0
queries/xbr	stress	0.0	5.0	0.0	1200.0
queries/xbr	warmup	0.0	1.0	0.0	1200.0
queries/xcr	stress	0.0	5.0	0.0	1200.0
queries/xcr	warmup	0.0	1.0	0.0	1200.0
queries/xmd	stress	0.0	5.0	0.0	1200.0
queries/xmd	warmup	0.0	1.0	0.0	1200.0
queries/xuh	stress	0.0	5.0	0.0	1200.0
queries/xuh	warmup	0.0	1.0	0.0	1200.0
queries/xzamq	stress	0.0	5.0	0.0	1200.0
queries/xzamq	warmup	0.0	1.0	0.0	1200.0
queries/xzapx	stress	0.0	5.0	0.0	1200.0
queries/xzapx	warmup	0.0	1.0	0.0	1200.0
queries/xzaqc	stress	0.0	5.0	0.0	1200.0
queries/xzaqc	warmup	0.0	1.0	0.0	1200.0
queries/xaa	stress	5.0	0.0	0.0	0.047445692000000005
queries/xaa	warmup	1.0	0.0	0.0	0.042015066
queries/xab	stress	5.0	0.0	0.0	0.032907277
queries/xab	warmup	1.0	0.0	0.0	0.029734466
queries/xac	stress	5.0	0.0	0.0	0.003951037
queries/xac	warmup	1.0	0.0	0.0	0.015734673
queries/xad	stress	5.0	0.0	0.0	0.003816205
queries/xad	warmup	1.0	0.0	0.0	0.005126462
queries/xae	stress	5.0	0.0	0.0	0.005797141
queries/xae	warmup	1.0	0.0	0.0	0.0056736009999999995
queries/xag	stress	5.0	0.0	0.0	0.533186325
queries/xag	warmup	1.0	0.0	0.0	0.404738782
queries/xah	stress	5.0	0.0	0.0	0.00381433
queries/xah	warmup	1.0	0.0	0.0	0.004858905
queries/xai	stress	5.0	0.0	0.0	0.003456178
queries/xai	warmup	1.0	0.0	0.0	0.010761126000000001
queries/xaj	stress	5.0	0.0	0.0	0.420368743
queries/xaj	warmup	1.0	0.0	0.0	0.33996375
queries/xak	stress	5.0	0.0	0.0	1.064450421
queries/xak	warmup	1.0	0.0	0.0	1.620678626
queries/xal	stress	5.0	0.0	0.0	0.003334156
queries/xal	warmup	1.0	0.0	0.0	0.006524696
queries/xam	stress	5.0	0.0	0.0	0.004230292
queries/xam	warmup	1.0	0.0	0.0	0.028534293
queries/xan	stress	5.0	0.0	0.0	0.003477373
queries/xan	warmup	1.0	0.0	0.0	0.004413284
queries/xao	stress	5.0	0.0	0.0	0.013261315
queries/xao	warmup	1.0	0.0	0.0	0.021857254
queries/xap	stress	5.0	0.0	0.0	0.003342041
queries/xap	warmup	1.0	0.0	0.0	0.003257764
queries/xaq	stress	5.0	0.0	0.0	0.003928999
queries/xaq	warmup	1.0	0.0	0.0	0.003516878
queries/xar	stress	5.0	0.0	0.0	0.003936813
queries/xar	warmup	1.0	0.0	0.0	3.566937512
queries/xas	stress	5.0	0.0	0.0	0.003867934
queries/xas	warmup	1.0	0.0	0.0	0.022461177
queries/xat	stress	5.0	0.0	0.0	0.003261125
queries/xat	warmup	1.0	0.0	0.0	0.007922573
queries/xau	stress	5.0	0.0	0.0	0.003713203
queries/xau	warmup	1.0	0.0	0.0	0.005873489
queries/xav	stress	5.0	0.0	0.0	0.003404138
queries/xav	warmup	1.0	0.0	0.0	0.020068532
queries/xaw	stress	5.0	0.0	0.0	0.006982945999999999
queries/xaw	warmup	1.0	0.0	0.0	0.010528839
