query_name	thread_type	success	errors	timeouts	median_runtime
queries/xel	stress	0.0	0.0	5.0	1200.0
queries/xel	warmup	0.0	0.0	1.0	1200.0
queries/xlk	stress	0.0	0.0	5.0	1200.0
queries/xyy	stress	0.0	0.0	5.0	1200.0
queries/xyy	warmup	0.0	0.0	1.0	1200.0
queries/xzabk	stress	0.0	0.0	5.0	1200.0
queries/xzabk	warmup	0.0	0.0	1.0	1200.0
queries/xzadf	stress	0.0	0.0	5.0	1200.0
queries/xzadf	warmup	0.0	0.0	1.0	1200.0
queries/xzaeg	stress	0.0	0.0	5.0	1200.0
queries/xzaeg	warmup	0.0	0.0	1.0	1200.0
queries/xzalc	stress	0.0	0.0	5.0	1200.0
queries/xzalc	warmup	0.0	0.0	1.0	1200.0
queries/xbp	stress	0.0	5.0	0.0	1200.0
queries/xbp	warmup	0.0	1.0	0.0	1200.0
queries/xbr	stress	0.0	5.0	0.0	1200.0
queries/xbr	warmup	0.0	1.0	0.0	1200.0
queries/xcr	stress	0.0	5.0	0.0	1200.0
queries/xcr	warmup	0.0	1.0	0.0	1200.0
queries/xmd	stress	0.0	5.0	0.0	1200.0
queries/xmd	warmup	0.0	1.0	0.0	1200.0
queries/xuh	stress	0.0	5.0	0.0	1200.0
queries/xuh	warmup	0.0	1.0	0.0	1200.0
queries/xzamq	stress	0.0	5.0	0.0	1200.0
queries/xzamq	warmup	0.0	1.0	0.0	1200.0
queries/xzapx	stress	0.0	5.0	0.0	1200.0
queries/xzapx	warmup	0.0	1.0	0.0	1200.0
queries/xzaqc	stress	0.0	5.0	0.0	1200.0
queries/xzaqc	warmup	0.0	1.0	0.0	1200.0
queries/xaa	stress	5.0	0.0	0.0	0.08307099700000001
queries/xaa	warmup	1.0	0.0	0.0	0.066874981
queries/xab	stress	5.0	0.0	0.0	0.080595035
queries/xab	warmup	1.0	0.0	0.0	0.048758193
queries/xac	stress	5.0	0.0	0.0	0.006040243000000001
queries/xac	warmup	1.0	0.0	0.0	0.0045963670000000005
queries/xad	stress	5.0	0.0	0.0	0.006517925
queries/xad	warmup	1.0	0.0	0.0	0.006220607
queries/xae	stress	5.0	0.0	0.0	0.011084661
queries/xae	warmup	1.0	0.0	0.0	0.00857696
queries/xag	stress	5.0	0.0	0.0	0.255093895
queries/xag	warmup	1.0	0.0	0.0	0.14976679199999998
queries/xah	stress	5.0	0.0	0.0	0.0057434190000000005
queries/xah	warmup	1.0	0.0	0.0	0.006524647
queries/xai	stress	5.0	0.0	0.0	0.005817924
queries/xai	warmup	1.0	0.0	0.0	0.009088364
queries/xaj	stress	5.0	0.0	0.0	0.599412601
queries/xaj	warmup	1.0	0.0	0.0	0.349410545
queries/xak	stress	5.0	0.0	0.0	0.577606862
queries/xak	warmup	1.0	0.0	0.0	0.401336778
queries/xal	stress	5.0	0.0	0.0	0.0067743230000000005
queries/xal	warmup	1.0	0.0	0.0	0.006155215
queries/xam	stress	5.0	0.0	0.0	0.005483279000000001
queries/xam	warmup	1.0	0.0	0.0	0.0057913059999999995
queries/xan	stress	5.0	0.0	0.0	0.005554032
queries/xan	warmup	1.0	0.0	0.0	0.0076920209999999985
queries/xao	stress	5.0	0.0	0.0	0.023107271000000002
queries/xao	warmup	1.0	0.0	0.0	0.016641888
queries/xap	stress	5.0	0.0	0.0	0.006108476
queries/xap	warmup	1.0	0.0	0.0	0.005043431
queries/xaq	stress	5.0	0.0	0.0	0.005441067
queries/xaq	warmup	1.0	0.0	0.0	0.00525185
queries/xar	stress	5.0	0.0	0.0	0.005704998
queries/xar	warmup	1.0	0.0	0.0	0.005063901000000001
queries/xas	stress	5.0	0.0	0.0	0.005684196999999999
queries/xas	warmup	1.0	0.0	0.0	0.008099216999999999
queries/xat	stress	5.0	0.0	0.0	0.005271349
queries/xat	warmup	1.0	0.0	0.0	0.005314215
queries/xau	stress	5.0	0.0	0.0	0.00610881
queries/xau	warmup	1.0	0.0	0.0	0.08487425
queries/xav	stress	5.0	0.0	0.0	0.00760614
queries/xav	warmup	1.0	0.0	0.0	0.0068775730000000005
queries/xaw	stress	5.0	0.0	0.0	0.012211188
