query_name	thread_type	success	errors	timeouts	median_runtime
C1/C1_split0.sparql	stress	5	0.0	0.0	48.751925316000005
C1/C1_split0.sparql	warmup	1	0.0	0.0	53.092190435
C1/C1_split1.sparql	stress	5	0.0	0.0	49.62362876
C1/C1_split1.sparql	warmup	1	0.0	0.0	42.917094582
C1/C1_split10.sparql	stress	5	0.0	0.0	51.756194978
C1/C1_split10.sparql	warmup	1	0.0	0.0	42.883574466999995
C1/C1_split11.sparql	stress	5	0.0	0.0	49.199890589
C1/C1_split11.sparql	warmup	1	0.0	0.0	44.040991264
C1/C1_split12.sparql	stress	5	0.0	0.0	48.305597043
C1/C1_split12.sparql	warmup	1	0.0	0.0	53.15754747
C1/C1_split13.sparql	stress	5	0.0	0.0	47.54934237
C1/C1_split13.sparql	warmup	1	0.0	0.0	44.33245448
C1/C1_split14.sparql	stress	5	0.0	0.0	46.713722105
C1/C1_split14.sparql	warmup	1	0.0	0.0	53.535181038999994
C1/C1_split15.sparql	stress	5	0.0	0.0	50.811782675
C1/C1_split15.sparql	warmup	1	0.0	0.0	53.739571487
C1/C1_split16.sparql	stress	5	0.0	0.0	52.799230201
C1/C1_split16.sparql	warmup	1	0.0	0.0	44.465060338
C1/C1_split17.sparql	stress	5	0.0	0.0	51.369916026000006
C1/C1_split17.sparql	warmup	1	0.0	0.0	44.83925586300001
C1/C1_split18.sparql	stress	5	0.0	0.0	49.770861723
C1/C1_split18.sparql	warmup	1	0.0	0.0	52.913608361
C1/C1_split19.sparql	stress	5	0.0	0.0	53.23428478899999
C1/C1_split19.sparql	warmup	1	0.0	0.0	44.088617676000005
C1/C1_split2.sparql	stress	5	0.0	0.0	48.530704586000006
C1/C1_split2.sparql	warmup	1	0.0	0.0	44.23451081899999
C1/C1_split3.sparql	stress	5	0.0	0.0	47.921928216000005
C1/C1_split3.sparql	warmup	1	0.0	0.0	44.300533793999996
C1/C1_split4.sparql	stress	5	0.0	0.0	51.010969767
C1/C1_split4.sparql	warmup	1	0.0	0.0	44.452951425
C1/C1_split5.sparql	stress	5	0.0	0.0	50.60090984399999
C1/C1_split5.sparql	warmup	1	0.0	0.0	44.462060101000006
C1/C1_split6.sparql	stress	5	0.0	0.0	48.848623873
C1/C1_split6.sparql	warmup	1	0.0	0.0	44.429676484000005
C1/C1_split7.sparql	stress	5	0.0	0.0	52.407248681999995
C1/C1_split7.sparql	warmup	1	0.0	0.0	56.687057171999996
C1/C1_split8.sparql	stress	5	0.0	0.0	50.97976901000001
C1/C1_split8.sparql	warmup	1	0.0	0.0	42.877997911
C1/C1_split9.sparql	stress	5	0.0	0.0	50.526191874
C1/C1_split9.sparql	warmup	1	0.0	0.0	43.528424973
C2/C2_split0.sparql	stress	5	0.0	0.0	9.992043338
C2/C2_split0.sparql	warmup	1	0.0	0.0	8.933130395000003
C2/C2_split1.sparql	stress	5	0.0	0.0	11.612940052
C2/C2_split1.sparql	warmup	1	0.0	0.0	10.705675996
C2/C2_split10.sparql	stress	5	0.0	0.0	10.112162758
C2/C2_split10.sparql	warmup	1	0.0	0.0	8.314620963
C2/C2_split11.sparql	stress	5	0.0	0.0	9.59048269
C2/C2_split11.sparql	warmup	1	0.0	0.0	8.392676195
C2/C2_split12.sparql	stress	5	0.0	0.0	9.874605522000001
C2/C2_split12.sparql	warmup	1	0.0	0.0	9.103874886
C2/C2_split13.sparql	stress	5	0.0	0.0	10.706917135
C2/C2_split13.sparql	warmup	1	0.0	0.0	9.106801557999999
C2/C2_split14.sparql	stress	5	0.0	0.0	10.476943898
C2/C2_split14.sparql	warmup	1	0.0	0.0	8.638086181
C2/C2_split15.sparql	stress	5	0.0	0.0	10.517119981
C2/C2_split15.sparql	warmup	1	0.0	0.0	8.663448246
C2/C2_split16.sparql	stress	5	0.0	0.0	11.155022569000002
C2/C2_split16.sparql	warmup	1	0.0	0.0	11.146624648
C2/C2_split17.sparql	stress	5	0.0	0.0	9.941196319
C2/C2_split17.sparql	warmup	1	0.0	0.0	8.874273494999997
C2/C2_split18.sparql	stress	5	0.0	0.0	9.673613746000001
C2/C2_split18.sparql	warmup	1	0.0	0.0	8.912647140999997
C2/C2_split19.sparql	stress	5	0.0	0.0	10.475127371000001
C2/C2_split19.sparql	warmup	1	0.0	0.0	11.130222875
C2/C2_split2.sparql	stress	5	0.0	0.0	9.576876259
C2/C2_split2.sparql	warmup	1	0.0	0.0	8.636759726000001
C2/C2_split3.sparql	stress	5	0.0	0.0	9.98900639
C2/C2_split3.sparql	warmup	1	0.0	0.0	8.873034367
C2/C2_split4.sparql	stress	5	0.0	0.0	9.724773845
C2/C2_split4.sparql	warmup	1	0.0	0.0	10.576374358999999
C2/C2_split5.sparql	stress	5	0.0	0.0	9.586317831
C2/C2_split5.sparql	warmup	1	0.0	0.0	9.083508189
C2/C2_split6.sparql	stress	5	0.0	0.0	10.359777936
C2/C2_split6.sparql	warmup	1	0.0	0.0	11.634385995
C2/C2_split7.sparql	stress	5	0.0	0.0	9.778937502000002
C2/C2_split7.sparql	warmup	1	0.0	0.0	8.950849892
C2/C2_split8.sparql	stress	5	0.0	0.0	10.302277532
C2/C2_split8.sparql	warmup	1	0.0	0.0	9.003490599000003
C2/C2_split9.sparql	stress	5	0.0	0.0	10.614470302
C2/C2_split9.sparql	warmup	1	0.0	0.0	8.613072976
F1/F1_split0.sparql	stress	5	0.0	0.0	0.06119922
F1/F1_split0.sparql	warmup	1	0.0	0.0	0.08154826700000001
F1/F1_split1.sparql	stress	5	0.0	0.0	0.060570939000000004
