query_name	thread_type	success	errors	timeouts	median_runtime
queries/xaf	stress	0.0	5.0	0.0	1200.0
queries/xaf	warmup	0.0	1.0	0.0	1200.0
queries/xaj	stress	0.0	5.0	0.0	1200.0
queries/xaj	warmup	0.0	1.0	0.0	1200.0
queries/xbd	stress	0.0	5.0	0.0	1200.0
queries/xbd	warmup	0.0	1.0	0.0	1200.0
queries/xbk	stress	0.0	5.0	0.0	1200.0
queries/xbk	warmup	0.0	1.0	0.0	1200.0
queries/xbp	stress	0.0	5.0	0.0	1200.0
queries/xbp	warmup	0.0	1.0	0.0	1200.0
queries/xbr	stress	0.0	5.0	0.0	1200.0
queries/xbr	warmup	0.0	1.0	0.0	1200.0
queries/xbs	stress	0.0	5.0	0.0	1200.0
queries/xbs	warmup	0.0	1.0	0.0	1200.0
queries/xbx	stress	0.0	5.0	0.0	1200.0
queries/xbx	warmup	0.0	1.0	0.0	1200.0
queries/xcq	stress	0.0	5.0	0.0	1200.0
queries/xcq	warmup	0.0	1.0	0.0	1200.0
queries/xcr	stress	0.0	5.0	0.0	1200.0
queries/xcr	warmup	0.0	1.0	0.0	1200.0
queries/xcu	stress	0.0	5.0	0.0	1200.0
queries/xcu	warmup	0.0	1.0	0.0	1200.0
queries/xdb	stress	0.0	5.0	0.0	1200.0
queries/xdb	warmup	0.0	1.0	0.0	1200.0
queries/xdp	stress	0.0	5.0	0.0	1200.0
queries/xdp	warmup	0.0	1.0	0.0	1200.0
queries/xel	stress	0.0	5.0	0.0	1200.0
queries/xel	warmup	0.0	1.0	0.0	1200.0
queries/xfb	stress	0.0	5.0	0.0	1200.0
queries/xfb	warmup	0.0	1.0	0.0	1200.0
queries/xfw	stress	0.0	5.0	0.0	1200.0
queries/xfw	warmup	0.0	1.0	0.0	1200.0
queries/xgd	stress	0.0	5.0	0.0	1200.0
queries/xgd	warmup	0.0	1.0	0.0	1200.0
queries/xhq	stress	0.0	5.0	0.0	1200.0
queries/xhq	warmup	0.0	1.0	0.0	1200.0
queries/xht	stress	0.0	5.0	0.0	1200.0
queries/xht	warmup	0.0	1.0	0.0	1200.0
queries/xih	stress	0.0	5.0	0.0	1200.0
queries/xih	warmup	0.0	1.0	0.0	1200.0
queries/xjo	stress	0.0	5.0	0.0	1200.0
queries/xjo	warmup	0.0	1.0	0.0	1200.0
queries/xjp	stress	0.0	5.0	0.0	1200.0
queries/xjp	warmup	0.0	1.0	0.0	1200.0
queries/xjt	stress	0.0	5.0	0.0	1200.0
queries/xjt	warmup	0.0	1.0	0.0	1200.0
queries/xke	stress	0.0	5.0	0.0	1200.0
queries/xke	warmup	0.0	1.0	0.0	1200.0
