query_name	thread_type	success	errors	timeouts	median_runtime
queries/xfb	warmup	0.0	0.0	1.0	1200.0
queries/xmq	warmup	0.0	0.0	1.0	1200.0
queries/xnb	warmup	0.0	0.0	1.0	1200.0
queries/xzaaq	warmup	0.0	0.0	1.0	1200.0
queries/xzady	warmup	0.0	0.0	1.0	1200.0
queries/xzagh	warmup	0.0	0.0	1.0	1200.0
queries/xzahc	warmup	0.0	0.0	1.0	1200.0
queries/xzara	warmup	0.0	0.0	1.0	1200.0
queries/xht	warmup	0.0	1.0	0.0	1200.0
queries/xzabd	warmup	0.0	1.0	0.0	1200.0
queries/xaa	warmup	1.0	0.0	0.0	0.24859241399999998
queries/xag	warmup	1.0	0.0	0.0	0.42946306700000003
queries/xaj	warmup	1.0	0.0	0.0	0.5477514370000001
queries/xak	warmup	1.0	0.0	0.0	1.90593307
queries/xba	warmup	1.0	0.0	0.0	0.16995452600000002
queries/xbe	warmup	1.0	0.0	0.0	0.198303447
queries/xbo	warmup	1.0	0.0	0.0	0.249794685
queries/xbq	warmup	1.0	0.0	0.0	1.692709994
queries/xch	warmup	1.0	0.0	0.0	73.97839023600001
queries/xcj	warmup	1.0	0.0	0.0	1.393012794
queries/xcx	warmup	1.0	0.0	0.0	0.16984089800000002
queries/xdg	warmup	1.0	0.0	0.0	2.2060399360000003
queries/xds	warmup	1.0	0.0	0.0	516.0572193119999
queries/xdv	warmup	1.0	0.0	0.0	0.200258767
queries/xea	warmup	1.0	0.0	0.0	2.921752836
queries/xec	warmup	1.0	0.0	0.0	2.5731203380000003
queries/xee	warmup	1.0	0.0	0.0	0.17275274
queries/xes	warmup	1.0	0.0	0.0	2.69648954
queries/xet	warmup	1.0	0.0	0.0	0.168786958
queries/xfd	warmup	1.0	0.0	0.0	0.224640134
queries/xfe	warmup	1.0	0.0	0.0	0.200627572
queries/xfk	warmup	1.0	0.0	0.0	1.7752976169999999
queries/xfr	warmup	1.0	0.0	0.0	0.203576569
queries/xfu	warmup	1.0	0.0	0.0	1.560704239
queries/xfy	warmup	1.0	0.0	0.0	3.893538641
queries/xge	warmup	1.0	0.0	0.0	0.5879266830000001
queries/xgg	warmup	1.0	0.0	0.0	0.200591772
queries/xgn	warmup	1.0	0.0	0.0	0.22405573
queries/xgr	warmup	1.0	0.0	0.0	0.212270268
queries/xgt	warmup	1.0	0.0	0.0	0.167318553
queries/xgw	warmup	1.0	0.0	0.0	0.207050321
queries/xhd	warmup	1.0	0.0	0.0	1.901231394
queries/xhj	warmup	1.0	0.0	0.0	2.236464575
queries/xhq	warmup	1.0	0.0	0.0	135.943902347
queries/xhx	warmup	1.0	0.0	0.0	0.41077271200000004
queries/xhz	warmup	1.0	0.0	0.0	3.818359991
queries/xib	warmup	1.0	0.0	0.0	1.6739480180000001
queries/xie	warmup	1.0	0.0	0.0	17.567256623000002
queries/xij	warmup	1.0	0.0	0.0	2.9908659460000004
queries/xik	warmup	1.0	0.0	0.0	0.17317314399999995
queries/xiu	warmup	1.0	0.0	0.0	1.6774511069999998
queries/xjf	warmup	1.0	0.0	0.0	132.60443819300002
queries/xjl	warmup	1.0	0.0	0.0	9.649023541
queries/xka	warmup	1.0	0.0	0.0	0.177505957
queries/xkc	warmup	1.0	0.0	0.0	0.172539692
queries/xkv	warmup	1.0	0.0	0.0	0.27436415399999997
queries/xlb	warmup	1.0	0.0	0.0	0.17599405
queries/xlh	warmup	1.0	0.0	0.0	0.45566517
queries/xll	warmup	1.0	0.0	0.0	3.7813154239999998
queries/xln	warmup	1.0	0.0	0.0	0.176660078
queries/xlo	warmup	1.0	0.0	0.0	1.7970813140000002
queries/xlw	warmup	1.0	0.0	0.0	5.6846744010000005
queries/xmj	warmup	1.0	0.0	0.0	0.197810049
queries/xmk	warmup	1.0	0.0	0.0	2.4321673660000003
queries/xmm	warmup	1.0	0.0	0.0	0.214304319
queries/xmx	warmup	1.0	0.0	0.0	1.8466208569999998
queries/xna	warmup	1.0	0.0	0.0	0.188220799
queries/xni	warmup	1.0	0.0	0.0	0.207232965
queries/xnm	warmup	1.0	0.0	0.0	0.171186007
queries/xno	warmup	1.0	0.0	0.0	6.232838448000001
queries/xoj	warmup	1.0	0.0	0.0	0.17412481700000002
queries/xot	warmup	1.0	0.0	0.0	0.96440047
queries/xox	warmup	1.0	0.0	0.0	1.718891951
queries/xpe	warmup	1.0	0.0	0.0	0.21664662
queries/xpj	warmup	1.0	0.0	0.0	1.553741698
queries/xpl	warmup	1.0	0.0	0.0	0.198700901
queries/xpp	warmup	1.0	0.0	0.0	0.215507726
queries/xpq	warmup	1.0	0.0	0.0	0.829424512
queries/xpw	warmup	1.0	0.0	0.0	0.228209449
queries/xqg	warmup	1.0	0.0	0.0	1.729777349
queries/xqj	warmup	1.0	0.0	0.0	0.20578273100000002
queries/xqk	warmup	1.0	0.0	0.0	2.433099033
queries/xqn	warmup	1.0	0.0	0.0	1.271337356
queries/xqv	warmup	1.0	0.0	0.0	1.910304612
queries/xqy	warmup	1.0	0.0	0.0	144.671902198
queries/xra	warmup	1.0	0.0	0.0	0.206468411
queries/xrj	warmup	1.0	0.0	0.0	0.7142253500000001
