dataset,sim_id,instance_type,instance_cost,license_cost,num_instances,tot_cost_per_hour
,,,,,,
Watdiv10M,Bla_N1_32_W10_Def,r3.xlarge,0.333,0,1,0.333
Watdiv10M,Gra_N1_32_W10_Def,r3.xlarge,0.333,0.75,1,1.083
Watdiv10M,ES_N1_32_W10_Def,r3.xlarge,0.333,1,1,1.333
Watdiv10M,Vir_N1_32_W10_Def,r3.xlarge,0.333,0.393,1,0.726
,,,,,,
Watdiv100M,Bla_N1_32_W100_Def,r3.xlarge,0.333,0,1,0.333
Watdiv100M,Gra_N1_32_W100_Def,r3.xlarge,0.333,0.75,1,1.083
Watdiv100M,ES_N1_32_W100_Def,r3.xlarge,0.333,1,1,1.333
Watdiv100M,Vir_N1_32_W100_Def,r3.xlarge,0.333,0.393,1,0.726
,,,,,,
Watdiv100M,LDF_N1_64_W100_Def,r3.2xlarge,0.665,0,2,1.33
Watdiv100M,LDF_N3_64_W100_Def,r3.2xlarge,0.665,0,4,2.66
Watdiv100M,Fus_N1_64_W100_Def,r3.2xlarge,0.665,0,1,0.665
Watdiv100M,Flu_N3_64_W100_Def,r3.2xlarge,0.665,0,4,2.66
,,,,,,
Watdiv1000M,Bla_N1_32_W1000_Def,r3.xlarge,0.333,0,1,0.333
Watdiv1000M,Gra_N1_32_W1000_Def,r3.xlarge,0.333,0.75,1,1.083
Watdiv1000M,ES_N1_32_W1000_Def,r3.xlarge,0.333,1,1,1.333
Watdiv1000M,Vir_N1_32_W1000_Def,r3.xlarge,0.333,0.393,1,0.726
,,,,,,
Watdiv1000M,Bla_N1_64_W1000_Def,r3.2xlarge,0.665,0,1,0.665
Watdiv1000M,Gra_N1_64_W1000_Def,r3.2xlarge,0.665,1.4,1,2.065
Watdiv1000M,ES_N1_64_W1000_Def,r3.2xlarge,0.665,2,1,2.665
Watdiv1000M,Vir_N1_64_W1000_Def,r3.2xlarge,0.665,0.795,1,1.46
,,,,,,
Watdiv1000M,Bla_N1_64_W1000_Opt,r3.2xlarge,0.665,0,1,0.665
Watdiv1000M,Gra_N1_64_W1000_Opt,r3.2xlarge,0.665,1.4,1,2.065
Watdiv1000M,Vir_N1_64_W1000_Opt,r3.2xlarge,0.665,0.795,1,1.46
,,,,,,
Watdiv1000M,ES_N3_32_W1000_Def,r3.xlarge,0.333,1,3,3.999
Watdiv1000M,Vir_N3_32_W1000_Def,r3.xlarge,0.333,0.393,3,2.178
,,,,,,
Watdiv1000M,LDF_N1_64_W1000_Def,r3.2xlarge,0.665,0,2,1.33
Watdiv1000M,LDF_N3_64_W1000_Def,r3.2xlarge,0.665,0,4,2.66
Watdiv1000M,Fus_N1_64_W1000_Def,r3.2xlarge,0.665,0,1,0.665
Watdiv1000M,Flu_N3_64_W1000_Def,r3.2xlarge,0.665,0,4,2.66
,,,,,,
Ontoforce,Bla_N1_64_Ont_Opt,r3.2xlarge,0.665,0,1,0.665
Ontoforce,Gra_N1_64_Ont_Opt,r3.2xlarge,0.665,1.4,1,2.065
Ontoforce,ES_N1_64_Ont_Def,r3.2xlarge,0.665,1,1,1.665
Ontoforce,Vir_N1_64_Ont_Opt,r3.2xlarge,0.665,0.795,1,1.46
Ontoforce,Vir_N1_64_Ont_Opt_VWall,r3.2xlarge,0.665,0.795,1,1.46
Ontoforce,Vir_N1_32_Ont_Opt,r3.xlarge,0.333,0.393,1,0.726
Ontoforce,Vir_N1_32_Ont_Opt_VWall,r3.xlarge,0.333,0.393,1,0.726
Ontoforce,Vir_N3_64_Ont_Opt_0,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Vir_N3_64_Ont_Opt_1,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Vir_N3_64_Ont_Opt_2,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Vir_N3_64_Ont_Opt_AWS1,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Vir_N3_64_Ont_Opt_AWS2,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Vir_N3_64_Ont_Opt_AWS3,r3.2xlarge,0.665,0.795,3,4.38
Ontoforce,Fus_N1_64_Ont_Def,r3.2xlarge,0.665,0,1,0.665
Ontoforce,Flu_N1_64_Ont_Def_1,r3.2xlarge,0.665,0,2,1.33
Ontoforce,Flu_N1_64_Ont_Def_2,r3.2xlarge,0.665,0,2,1.33
Ontoforce,Flu_N1_64_Ont_Def_3,r3.2xlarge,0.665,0,2,1.33
Ontoforce,Flu_N3_64_Ont_Def_1,r3.2xlarge,0.665,0,4,2.66
Ontoforce,Flu_N3_64_Ont_Def_2,r3.2xlarge,0.665,0,4,2.66
Ontoforce,Flu_N3_64_Ont_Def_3,r3.2xlarge,0.665,0,4,2.66
